# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.949125777995586617e+01,-5.936144807658849665e+00,3.008275420604473638e+01,6.102029379562168288e-07,1.921629369516786312e-08,-8.435116393043712302e-02,9.545486910756911803e-01,3.006030753618128826e-02,3.000000000000000000e+00
-2.847344735931675785e+01,-8.676676760084840012e+00,2.962573764980663071e+01,2.886058286266706574e+00,9.088672004228040557e-02,-2.176455094705057047e-01,9.480714508693526277e-01,2.985632859366256150e-02,3.000000000000000000e+00
-2.706435360963906689e+01,-1.129771361016985942e+01,2.876155166869796176e+01,5.732201021506456939e+00,1.805164337625529691e-01,-3.530534811173370313e-01,9.280333858602352048e-01,2.922529698444703561e-02,3.000000000000000000e+00
-2.526647180900498313e+01,-1.375606260313154650e+01,2.748411937459633236e+01,8.495614169053350651e+00,2.675408567610014776e-01,-4.903335618534593321e-01,8.932346935536112920e-01,2.812942895553041667e-02,3.000000000000000000e+00
-2.308413944015872232e+01,-1.600453007748483003e+01,2.578838037452566567e+01,1.112919944895052282e+01,3.504767867733885600e-01,-6.290396183451166801e-01,8.420360648316969066e-01,2.651709996781042786e-02,3.000000000000000000e+00
-2.052460962751838025e+01,-1.799066922443238070e+01,2.367109600034853401e+01,1.358013622444412327e+01,4.276608151125274593e-01,-7.683843050969996202e-01,7.722789923454250749e-01,2.432033507633277886e-02,3.000000000000000000e+00
-1.759969756668525065e+01,-1.965535442149884204e+01,2.113218204299183967e+01,1.578815983575634263e+01,4.971951085684196969e-01,-9.070296773821132641e-01,6.811944053498102392e-01,2.145193169105473127e-02,3.000000000000000000e+00
-1.432826789184790073e+01,-2.093124638807303484e+01,1.817684434598741205e+01,1.768356709783520486e+01,5.568845992534831035e-01,-1.042764336921222279e+00,5.653159804878554739e-01,1.780272959091542748e-02,3.000000000000000000e+00
-1.073990309041398561e+01,-2.174131629331374072e+01,1.481888385703090627e+01,1.918504662548267348e+01,6.041686579739451446e-01,-1.172008090495368249e+00,4.204381315972362532e-01,1.324028795378465184e-02,3.000000000000000000e+00
-6.880505801016908229e+00,-2.199776023999745078e+01,1.108597457008248455e+01,2.019751025049385973e+01,6.360528019904601038e-01,-1.289054869453945429e+00,2.417247799566305810e-01,7.612310710335342366e-03,3.000000000000000000e+00
-2.820349278497326306e+00,-2.160228711064865337e+01,7.027612499502927434e+00,2.061078728004931193e+01,6.490675750682760592e-01,-1.384980750864873045e+00,2.417749410290165324e-02,7.613890364968310676e-04,3.000000000000000000e+00
1.334505623681762954e+00,-2.044957436523777972e+01,2.726990100989103549e+00,2.030075890247013248e+01,6.393042717793980811e-01,-1.446216463431850174e+00,-2.360984155668183759e-01,-7.435127246097622891e-03,3.000000000000000000e+00
5.427637734036975914e+00,-1.843742514043018943e+01,-1.682713270823296803e+00,1.913643647228184363e+01,6.026378443357730541e-01,-1.453160011422167885e+00,-5.390992487499475239e-01,-1.697712160883650678e-02,3.000000000000000000e+00
9.237453709753747688e+00,-1.548913605597050314e+01,-5.999396968706493638e+00,1.699895731616550520e+01,5.353251117473217802e-01,-1.380177066115032991e+00,-8.757351271415970695e-01,-2.757833884036597211e-02,3.000000000000000000e+00
1.247188887612700370e+01,-1.159376082979827238e+01,-9.938898981499004748e+00,1.381999196434868971e+01,4.352142666789681202e-01,-1.200096846569882469e+00,-1.220469686767820860e+00,-3.843459685800185155e-02,3.000000000000000000e+00
1.479240955563606086e+01,-6.861753080272168681e+00,-1.314754648636453638e+01,9.640999822940798936e+00,3.036109339873256374e-01,-8.971678914573508745e-01,-1.526205535072654218e+00,-4.806272134321976086e-02,3.000000000000000000e+00
1.588818410757369470e+01,-1.569563552386816552e+00,-1.526606827114279241e+01,4.671556560707806227e+00,1.471149960190000494e-01,-4.866116611422857119e-01,-1.732091022719989715e+00,-5.454639381983395624e-02,3.000000000000000000e+00
1.558833469563176166e+01,3.858627904365190098e+00,-1.604324415015947025e+01,-7.064065016678147124e-01,-2.224590205216538108e-02,-2.387689278589066877e-02,-1.790929579216124834e+00,-5.639931669301459505e-02,3.000000000000000000e+00
1.394130788562344847e+01,8.957903311177823014e+00,-1.543482717741623844e+01,-6.027783492985281377e+00,-1.898248117196219276e-01,4.157215019685905344e-01,-1.698080204869854448e+00,-5.347533725279807887e-02,3.000000000000000000e+00
1.119112100850812297e+01,1.335852978297663718e+01,-1.360707840336643315e+01,-1.088216354085219706e+01,-3.426972199065091429e-01,7.741243112169572393e-01,-1.491231677049090543e+00,-4.696133705790862811e-02,3.000000000000000000e+00
