# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.015441892113965849e+01,2.233319280368827364e+01,3.008275424317902491e+01,-6.095526448035570866e-07,2.153265055149233831e-08,3.114570295397101063e-02,1.130875836077991803e+00,-3.994856659413742461e-02,0.000000000000000000e+00
-2.262394930666676629e+01,1.996276749133680894e+01,2.997747088093679935e+01,3.419330014778912741e+00,-1.207889747440920036e-01,-1.003609671606753295e-01,1.123400060722255178e+00,-3.968448233297114380e-02,0.000000000000000000e+00
-2.479523591975458885e+01,1.732909653642316883e+01,2.947694293597466952e+01,6.793640568615895603e+00,-2.399876219950188294e-01,-2.294577299258585001e-01,1.101233822074725310e+00,-3.890145254976926092e-02,0.000000000000000000e+00
-2.664217701494287383e+01,1.446867632017457872e+01,2.859077774600303457e+01,1.007912931854544958e+01,-3.560486093586202050e-01,-3.546366801556429804e-01,1.064868930301717809e+00,-3.761685060290938243e-02,0.000000000000000000e+00
-2.814289329354332736e+01,1.142018300947710152e+01,2.733302979923065124e+01,1.323366781558726757e+01,-4.674837353048026389e-01,-4.744723710974086406e-01,1.014920421638455306e+00,-3.585240285280767714e-02,0.000000000000000000e+00
-2.927982918045727700e+01,8.224031908979059224e+00,2.572194145295931378e+01,1.621717107044786843e+01,-5.728769841993740508e-01,-5.876249710159638928e-01,9.521149575674165977e-01,-3.363377885901976810e-02,0.000000000000000000e+00
-3.003981180805452667e+01,4.921977358397619184e+00,2.377968541778139411e+01,1.899190920344214106e+01,-6.708955354416076267e-01,-6.928413865825167051e-01,8.772815452515352330e-01,-3.099026357644425744e-02,0.000000000000000000e+00
-3.041409740859150546e+01,1.556713417861568249e+00,2.153209939095981440e+01,2.152280922481553560e+01,-7.603004239549085996e-01,-7.889565679494459083e-01,7.913440239729502279e-01,-2.795449193626227402e-02,0.000000000000000000e+00
-3.039839812420019172e+01,-1.828517871682654672e+00,1.900841319391368955e+01,2.377773721442159527e+01,-8.399565082781653702e-01,-8.748949397487379986e-01,6.953151624422797550e-01,-2.456224033141622340e-02,0.000000000000000000e+00
-2.999289353582468465e+01,-5.190294821784144474e+00,1.624098304855285946e+01,2.572775349230728281e+01,-9.088414845518965057e-01,-9.496719531611413911e-01,5.902927142476872557e-01,-2.085228727403063559e-02,0.000000000000000000e+00
-2.920222978465007913e+01,-8.485406758209720124e+00,1.326500096457585265e+01,2.734737353375485114e+01,-9.660551034292439443e-01,-1.012397250382528924e+00,4.774559852219308898e-01,-1.686629213650681081e-02,0.000000000000000000e+00
-2.803550866212169623e+01,-1.167121748094399436e+01,1.011821760040312590e+01,2.861480322886301053e+01,-1.010827480699248326e+00,-1.062278460278329284e+00,3.580641278163934627e-01,-1.264873489971574810e-02,0.000000000000000000e+00
-2.650625767243905528e+01,-1.470606589407001508e+01,6.840624781699878199e+00,2.951218491208248906e+01,-1.042527788362361374e+00,-1.098627220403954663e+00,2.334538508137872781e-01,-8.246835247834595831e-03,0.000000000000000000e+00
-2.463238159812718564e+01,-1.754966330173801126e+01,3.474128102660609230e+00,3.002582743613147898e+01,-1.060672382068347019e+00,-1.120866579650349193e+00,1.050373978671134134e-01,-3.710481159560199971e-03,0.000000000000000000e+00
-2.243610299011807996e+01,-2.016349234957728953e+01,6.221088552958953244e-02,3.014642913038639449e+01,-1.064932677195897792e+00,-1.128540249858743127e+00,-2.569948768219487700e-02,9.078429853695939300e-04,0.000000000000000000e+00
-1.994385686432782379e+01,-2.251125125480226430e+01,-3.350466161923430164e+00,2.986929710670577265e+01,-1.055142895904108036e+00,-1.121323993545024766e+00,-1.572021127031010268e-01,5.553217132871723222e-03,0.000000000000000000e+00
-1.718617265400609639e+01,-2.455928608967265347e+01,-6.718464958032575041e+00,2.919454911108480388e+01,-1.031307197609582005e+00,-1.099038630031366370e+00,-2.878518572202277137e-01,1.016846299173674618e-02,0.000000000000000000e+00
-1.419747821682048361e+01,-2.627707193311982081e+01,-9.996058558864158172e+00,2.812729026504519325e+01,-9.936059224350585195e-01,-1.061664437609494582e+00,-4.159755617741248135e-01,1.469447564526553916e-02,0.000000000000000000e+00
-1.101589772899254172e+01,-2.763767074457454598e+01,-1.313770648406324426e+01,2.667776968604106713e+01,-9.424011238775575894e-01,-1.009356939298153621e+00,-5.398558664915265037e-01,1.907058878237908456e-02,0.000000000000000000e+00
-7.682942735878897977e+00,-2.861823052110653265e+01,-1.609863227263346985e+01,2.486148547869193237e+01,-8.782402776587485693e-01,-9.424627670970197046e-01,-6.577475215008588005e-01,2.323515086849353012e-02,0.000000000000000000e+00
