# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-1.712827231424923491e-01,-5.090987278376221670e-02,6.669095979825470644e-02,1.085924152515419239e-01,-1.252580920539299869e-01,2.859884443778000496e-03,-2.579368357987548918e-02,1.682803341791667268e-02
-1.696799008717107538e-01,-5.132709786805041141e-02,6.683800209757716215e-02,1.072126434427701502e-01,-1.243538109468612929e-01,2.669657908759045205e-03,-2.610111220457662917e-02,1.718362605340850724e-02
-1.680510387732299382e-01,-5.173645736284446933e-02,6.697479688720127389e-02,1.058164137126463983e-01,-1.234304493394205032e-01,2.474364639526391643e-03,-2.641200815243556835e-02,1.754524812927884744e-02
-1.663957672484577821e-01,-5.213768723781229270e-02,6.710106721983126465e-02,1.044035544669024845e-01,-1.224876907339961241e-01,2.273785099818502811e-03,-2.672649037569392941e-02,1.791313808825587342e-02
-1.647136381526135285e-01,-5.253052689126202351e-02,6.721652866944197169e-02,1.029738334195429428e-01,-1.215251692179772774e-01,2.067678109926361293e-03,-2.704469523333453973e-02,1.828756202106637113e-02
-1.630042918783164152e-01,-5.291467859248528277e-02,6.732087653598657628e-02,1.015271002306207399e-01,-1.205425646088772035e-01,1.855800198783164739e-03,-2.736674499462057528e-02,1.866877733009763424e-02
-1.612673766782165286e-01,-5.328982812172532862e-02,6.741379293530315453e-02,1.000632172028471656e-01,-1.195395568295646027e-01,1.637895054052890091e-03,-2.769276351216456988e-02,1.905705144670361006e-02
-1.595022930145531537e-01,-5.365569660766207616e-02,6.749495755898637928e-02,9.858184519279508673e-02,-1.185156772661248581e-01,1.413659829656336089e-03,-2.802292419591670414e-02,1.945272009093766685e-02
-1.577085313109210518e-01,-5.401196374782962772e-02,6.756402630147545496e-02,9.708272982847748755e-02,-1.174705026597273466e-01,1.182785624884457112e-03,-2.835738663574938548e-02,1.985611309190348298e-02
-1.558857634154744709e-01,-5.435825429170667439e-02,6.762063174994578651e-02,9.556577605710654677e-02,-1.164037097931518161e-01,9.449688159317943745e-04,-2.869628019294293703e-02,2.026753459410131006e-02
-1.540334132468939021e-01,-5.469422136029246373e-02,6.766439802839838147e-02,9.403069011347220396e-02,-1.153148247318431241e-01,6.998540031455018420e-04,-2.903978423107250739e-02,2.068736097795808096e-02
