# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.975335584305086201e+01,4.439585990287884698e+00,3.008275432350515999e+01,9.444969872873798522e-07,-4.666093461613840532e-08,6.391317474653682162e-02,9.500702417087997231e-01,-4.693626966175729748e-02,3.000000000000000000e+00
-3.017214105503872901e+01,1.594065082523632437e+00,3.007701442212890086e+01,2.872664623144418616e+00,-1.419180977157935286e-01,-6.741100867008649467e-02,9.438131056761603910e-01,-4.662714870285847996e-02,3.000000000000000000e+00
-3.019441241234400763e+01,-1.272451487082912003e+00,2.967600387173989063e+01,5.707622878715866932e+00,-2.819733897582009652e-01,-1.969511206830232841e-01,9.252124041802215482e-01,-4.570821923534776343e-02,3.000000000000000000e+00
-2.982015191244943608e+01,-4.122218928129654181e+00,2.888527521054263758e+01,8.467587036600185968e+00,-4.183237523779665956e-01,-3.246044584112044440e-01,8.943003976482645223e-01,-4.418107501939974591e-02,3.000000000000000000e+00
-2.904968310948712684e+01,-6.917101509163539497e+00,2.771077648817430727e+01,1.111493257806679402e+01,-5.491104234757154812e-01,-4.502030849891826003e-01,8.508153023067476228e-01,-4.203278316516203400e-02,3.000000000000000000e+00
-2.788381349298471434e+01,-9.617628180974687524e+00,2.615913145573862764e+01,1.361078722853158496e+01,-6.724129981359501240e-01,-5.734595283039002345e-01,7.941966277537519936e-01,-3.923565379509466600e-02,3.000000000000000000e+00
-2.632415336836250930e+01,-1.218200859527171964e+01,2.423810016975640380e+01,1.591410593882583946e+01,-7.862037299758366515e-01,-6.938997348528495035e-01,7.235689099736085650e-01,-3.574643640695616270e-02,3.000000000000000000e+00
-2.437365110551232306e+01,-1.456505756931037965e+01,2.195726710648859736e+01,1.798068731773208739e+01,-8.882989400140434144e-01,-8.107723670357579460e-01,6.377153006153407633e-01,-3.150501510632991442e-02,3.000000000000000000e+00
-2.203745916865481291e+01,-1.671695600813572113e+01,1.932908057101012744e+01,1.976207726686329025e+01,-9.763048530029416749e-01,-9.229183877889080012e-01,5.350458901832506609e-01,-2.643284367889220388e-02,3.000000000000000000e+00
-1.932423533776216829e+01,-1.858187751285870348e+01,1.637034235454961362e+01,2.120440408105982755e+01,-1.047560047955423457e+00,-1.028582831657307795e+00,4.135676255939340074e-01,-2.043145942907998933e-02,3.000000000000000000e+00
-1.624813429712442314e+01,-2.009642942802836885e+01,1.310440758454367938e+01,2.224713200296663018e+01,-1.099073880067915177e+00,-1.125136262023236799e+00,2.708763937306509773e-01,-1.338209208434826963e-02,3.000000000000000000e+00
-1.283183844874296398e+01,-2.118799617953956016e+01,9.564426840145525688e+00,2.282187143684268449e+01,-1.127467701776437403e+00,-1.208664787118038042e+00,1.042129597356322712e-01,-5.148427311652088376e-03,3.000000000000000000e+00
-9.111122612476842519e+00,-2.177323243414573639e+01,5.798083248267625223e+00,2.285156325691112755e+01,-1.128934565185372607e+00,-1.273378139156304822e+00,-8.933150209936172037e-02,4.413239450889593248e-03,3.000000000000000000e+00
-5.141656046343941355e+00,-2.175728334122478813e+01,1.874435099512785641e+00,2.225071114022014385e+01,-1.099250699995445224e+00,-1.310793773066623924e+00,-3.122882184737612032e-01,1.542795826139228138e-02,3.000000000000000000e+00
-1.008976330737899607e+00,-2.103503555380948242e+01,-2.106404103745481482e+00,2.092808752639374958e+01,-1.033909195889487487e+00,-1.308732890287302109e+00,-5.656336940816303338e-01,2.794397132936264627e-02,3.000000000000000000e+00
3.157857973836867949e+00,-1.949707639522482339e+01,-6.000641931478654101e+00,1.879463274670137096e+01,-9.285102427860825181e-01,-1.250441868355139263e+00,-8.464317621677638348e-01,4.181622336462936795e-02,3.000000000000000000e+00
7.169823622095285565e+00,-1.704513766927243523e+01,-9.606822559959079300e+00,1.578113491406426760e+01,-7.796345695059915260e-01,-1.114866466575154202e+00,-1.143653005171291204e+00,5.649982863756679297e-02,3.000000000000000000e+00
1.076455963153504669e+01,-1.362373151508480618e+01,-1.265726894305760375e+01,1.187145243918860693e+01,-5.864847339711406482e-01,-8.804621024111469740e-01,-1.432249383283784150e+00,7.075734016864179687e-02,3.000000000000000000e+00
1.361149539739886904e+01,-9.272108931456116920e+00,-1.483082276981961733e+01,7.153085143682670122e+00,-3.533834852184592479e-01,-5.359938796548935347e-01,-1.668600598729285567e+00,8.243378670493309301e-02,3.000000000000000000e+00
1.536075374175204722e+01,-4.183980441297746822e+00,-1.581002556154130545e+01,1.868960770528523163e+00,-9.233216962463240696e-02,-9.823721957979841823e-02,-1.796146881034159204e+00,8.873494891147558350e-02,3.000000000000000000e+00
