# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.812995111634806733e+01,8.291985357526437284e+00,2.913716738750593294e+01,-3.328159793343052009e+00,4.249542528977912070e-07,8.160188250682028910e-01,5.695443095409856049e+00,-6.323333333333298611e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.811414555848853070e+01,8.351591997783138765e+00,2.914580312509285065e+01,-3.267473671582556527e+00,-6.736479671983652828e-03,8.050996826805570938e-01,5.696678768205593713e+00,-6.323320713911899649e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.809822681810349110e+01,8.411168883677511587e+00,2.915432303187618501e+01,-3.206770855871961423e+00,-1.347376262035182570e-02,7.941786400390218326e-01,5.697891553246311247e+00,-6.323282855555009130e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.808219814404776216e+01,8.470703991081986572e+00,2.916272542152734459e+01,-3.146063611570371954e+00,-2.021006302222172479e-02,7.832579178668390707e-01,5.699081214974975218e+00,-6.323219778036937022e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.806605644615024531e+01,8.530208931735995037e+00,2.917101196606945024e+01,-3.085340112320961836e+00,-2.694669361255874751e-02,7.723354027452403736e-01,5.700247994698710130e+00,-6.323131481253420061e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.804980178189630635e+01,8.589683493724866281e+00,2.917918263599166551e+01,-3.024600574378059292e+00,-3.368363040023114596e-02,7.614111479341778566e-01,5.701391890963825482e+00,-6.323017970261964882e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.803343420917380158e+01,8.649127465241360113e+00,2.918723740219571994e+01,-2.963845214053864474e+00,-4.042084939293155710e-02,7.504852066865490556e-01,5.702512902457756105e+00,-6.322879250273358842e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.801695706803647212e+01,8.708528846997181105e+00,2.919517467202210526e+01,-2.903086309368077877e+00,-4.715698950777713616e-02,7.395598010046489090e-01,5.703610812354356518e+00,-6.322715361682511581e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.800036718016352211e+01,8.767899227344463142e+00,2.920299602719850185e+01,-2.842312021157809454e+00,-5.389336375197184559e-02,7.286328159849649877e-01,5.704685844361033986e+00,-6.322526284974550048e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.798366793110756134e+01,8.827226619730586421e+00,2.921069992193026721e+01,-2.781534633444774585e+00,-6.062861097174465641e-02,7.177064741872604126e-01,5.705737791015652149e+00,-6.322312070842878162e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.796685609852866961e+01,8.886522600630632596e+00,2.921828789277732241e+01,-2.720742300852529993e+00,-6.736404428947062595e-02,7.067786600106749084e-01,5.706766867225032236e+00,-6.322072690072138013e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.794993174225136556e+01,8.945786959041205577e+00,2.922575991273804519e+01,-2.659935239709204424e+00,-7.409963973726352293e-02,6.958494266020048835e-01,5.707773072381906232e+00,-6.321808148630321256e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.793289492250065820e+01,9.005019484071175029e+00,2.923311595522338635e+01,-2.599113666395604483e+00,-8.083537334663115637e-02,6.849188270982144999e-01,5.708756406019496410e+00,-6.321518452637659991e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.791574911570120676e+01,9.064208215021167803e+00,2.924035456820126200e+01,-2.538289876539195689e+00,-8.756988386594399820e-02,6.739890850734883143e-01,5.709716679400211881e+00,-6.321203673368213094e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.789849101166856471e+01,9.123364703997303593e+00,2.924747719783526279e+01,-2.477452012974323381e+00,-9.430448457747853119e-02,6.630580836856576621e-01,5.710654089830045521e+00,-6.320863762225170657e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.788112413215952756e+01,9.182477003540741478e+00,2.925448243900104117e+01,-2.416612376803714213e+00,-1.010378142167929205e-01,6.521280469344018504e-01,5.711568457930921383e+00,-6.320498800759708491e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.786364164049256686e+01,9.241568383920940377e+00,2.926137304939624428e+01,-2.355747017771015805e+00,-1.077725234402867605e-01,6.411946862513744350e-01,5.712460147001766408e+00,-6.320108650724740595e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.784605404671430051e+01,9.300603443481312738e+00,2.926814493427504971e+01,-2.294892414404770875e+00,-1.145045763612880796e-01,6.302645681053593574e-01,5.713328632896620185e+00,-6.319693558886657625e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.782835096547513842e+01,9.359617163861930322e+00,2.927480213980420132e+01,-2.234012520970269478e+00,-1.212379609833486027e-01,6.193312320502875057e-01,5.714174440369606423e+00,-6.319253292372312147e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.781053949169846362e+01,9.418585893935681241e+00,2.928134199795306358e+01,-2.173131736507075473e+00,-1.279699787452767135e-01,6.083990739868995190e-01,5.714997233963207357e+00,-6.318788033234149504e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.779261618380670029e+01,9.477521148096153425e+00,2.928776581918388189e+01,-2.112238187371527687e+00,-1.347019430361482417e-01,5.974659754988219662e-01,5.715797184584832102e+00,-6.318297703841997404e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
2.777458110550342951e+01,9.536422716873811822e+00,2.929407358066491440e+01,-2.051332089993396224e+00,-1.414338299290035517e-01,5.865319895192293576e-01,5.716574293026862819e+00,-6.317782311666123585e-01,1.000000000000000000e+00,2.698274455245532444e+00,8.776780099086636255e-01
