# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
2.301874345834094271e+01,1.936774454554374003e+01,3.008275384971140909e+01,-5.123157544417722420e-06,-7.881325636560632120e-07,9.525846798845594154e-02,1.189560344975082229e+00,1.829987142992101357e-01,3.000000000000000000e+00
2.074459910561864007e+01,2.221026962436488716e+01,3.017268487880755146e+01,3.596857129038061984e+00,5.533306762556051694e-01,-3.530278482671189710e-02,1.181806412164992270e+00,1.818058704548412008e-01,3.000000000000000000e+00
1.820273329061863521e+01,2.476650550305281584e+01,2.987344315951294149e+01,7.147562685271497074e+00,1.099561520609610321e+00,-1.612770250953783346e-01,1.159307740450252755e+00,1.783447362512429746e-01,3.000000000000000000e+00
1.543368876649681809e+01,2.701408203450101198e+01,2.920164896927488130e+01,1.060939479217880077e+01,1.632120316268717453e+00,-2.809277008561429922e-01,1.123387884134954717e+00,1.728189236673932927e-01,3.000000000000000000e+00
1.247883156947040284e+01,2.893698609676814115e+01,2.817864529823602737e+01,1.394392053227153383e+01,2.145094648182391595e+00,-3.928716551922453726e-01,1.075533620411549096e+00,1.654571544455872290e-01,3.000000000000000000e+00
9.379343566577523106e+00,3.052513717306764462e+01,2.682945371805252321e+01,1.711731091405402339e+01,2.633280356699633451e+00,-4.960690456321735775e-01,1.017310442962852557e+00,1.565002598579911530e-01,3.000000000000000000e+00
6.175295927530945583e+00,3.177388284115586004e+01,2.518174060867552200e+01,2.010054889647792464e+01,3.092213539482873585e+00,-5.897993759203070674e-01,9.502901611274943150e-01,1.461900427600110186e-01,3.000000000000000000e+00
2.905052213703541941e+00,3.268332757019067714e+01,2.326492828250913902e+01,2.286930160124134659e+01,3.518150892997108592e+00,-6.736213656908640601e-01,8.759967411369498080e-01,1.347609459541270760e-01,3.000000000000000000e+00
-3.952061298011302348e-01,3.325767800112226524e+01,2.110941038139271342e+01,2.540372710255705613e+01,3.908039989575576634e+00,-7.473300031739973370e-01,7.958670458134120551e-01,1.224340124922504713e-01,3.000000000000000000e+00
-3.691790868814535553e+00,3.350459135316866366e+01,1.874589432686739343e+01,2.768817959635925874e+01,4.259473921455833256e+00,-8.109125227126785518e-01,7.112256015640259221e-01,1.094130038990375059e-01,3.000000000000000000e+00
-6.953662743915123734e+00,3.343455771446853220e+01,1.620488444176541520e+01,2.971084135387836866e+01,4.570634681522975029e+00,-8.645062538662332541e-01,6.232715459050590656e-01,9.588239221465988393e-02,3.000000000000000000e+00
-1.015246942788826878e+01,3.306034476030598057e+01,1.351629540678598573e+01,3.146332692446081580e+01,4.840232274952524172e+00,-9.083607735846200848e-01,5.330750278675364662e-01,8.200680624303952060e-02,3.000000000000000000e+00
-1.326250567585660534e+01,3.239651609453175496e+01,1.070917265349945957e+01,3.294029350728375505e+01,5.067444779859247461e+00,-9.428055808059681020e-01,4.415802355832149084e-01,6.793149730740508097e-02,3.000000000000000000e+00
-1.626067996136712424e+01,3.145900120833909952e+01,7.811441026485281824e+00,3.413909448765179633e+01,5.251865048267387870e+00,-9.682238674376892895e-01,3.496109655533290450e-01,5.378319601138421141e-02,3.000000000000000000e+00
-1.912630924764712503e+01,3.026476114787270077e+01,4.849846571954323338e+00,3.505939599358558922e+01,5.393441718223579429e+00,-9.850300662424398279e-01,2.578828750043941076e-01,3.967199710795384082e-02,3.000000000000000000e+00
-2.184102977635759402e+01,2.883148448350034698e+01,1.849829060716587037e+00,3.570289019448831169e+01,5.492435108446807490e+00,-9.936536156683293264e-01,1.670130555765999558e-01,2.569283228951325243e-02,3.000000000000000000e+00
-2.438859334883736807e+01,2.717737125893406969e+01,-1.164461227118390951e+00,3.607300227298538431e+01,5.549372139676603588e+00,-9.945259268752313364e-01,7.753326888281786289e-02,1.192750631012994000e-02,3.000000000000000000e+00
-2.675474535017594846e+01,2.532092520818319414e+01,-4.170203942509303374e+00,3.617465566500978724e+01,5.565010219848995909e+00,-9.880711480080140996e-01,-1.009974191841306324e-02,-1.553716710237296184e-03,3.000000000000000000e+00
-2.892699856828155802e+01,2.328086204342099919e+01,-7.145794643927406042e+00,3.601405877367245267e+01,5.540304432740904339e+00,-9.746997750459635013e-01,-9.549064647086497049e-02,-1.469002022939386309e-02,3.000000000000000000e+00
-3.089455452074426844e+01,2.107595183451528342e+01,-1.007088607672627667e+01,3.559853570136246503e+01,5.476381498258771074e+00,-9.548043035741682338e-01,-1.782977617865648123e-01,-2.742884066974480423e-02,3.000000000000000000e+00
