# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
2.673435261316920020e+01,1.379298448306041003e+01,3.008275304215175083e+01,-1.101490862076559551e-05,4.634356811639150919e-07,1.427408428256756734e-01,1.291062356666088595e+00,-5.431950309169536473e-02,3.000000000000000000e+00
2.515128835800073404e+01,1.737292338282835402e+01,3.031730227887340234e+01,3.903841438653566698e+00,-1.642482456416902714e-01,1.293164080907838187e-02,1.282739286214193308e+00,-5.396932244487394337e-02,3.000000000000000000e+00
2.324933566430678056e+01,2.073306235780286144e+01,3.016767878255971169e+01,7.758613446107426981e+00,-3.264319689107791911e-01,-1.104168253629060903e-01,1.259030580964102697e+00,-5.297181439928427132e-02,3.000000000000000000e+00
2.106866438330461833e+01,2.384530783474857074e+01,2.965670028760789023e+01,1.152095883313293001e+01,-4.847269814075411132e-01,-2.252814174146264836e-01,1.222093264675244484e+00,-5.141773247907962391e-02,3.000000000000000000e+00
1.865089628339790551e+01,2.668986696743216669e+01,2.881228073548557234e+01,1.515423658908555282e+01,-6.375916678252396830e-01,-3.303225222357305535e-01,1.174253654815633485e+00,-4.940495298608513913e-02,3.000000000000000000e+00
1.603709536850556816e+01,2.925472601765170566e+01,2.766540512046145395e+01,1.862896834539000679e+01,-7.837857702284652950e-01,-4.248246447419861127e-01,1.117810009142779393e+00,-4.703017165209096018e-02,3.000000000000000000e+00
1.326651747006989979e+01,3.153442050197902446e+01,2.624845437028619699e+01,2.192231918647685163e+01,-9.223485439556851073e-01,-5.085810395960009833e-01,1.054897760342528912e+00,-4.438323358936611257e-02,3.000000000000000000e+00
1.037553143629613217e+01,3.352899759024063542e+01,2.459377087197470502e+01,2.501767055448993204e+01,-1.052580788228419495e+00,-5.817765622637195433e-01,9.874051996847961199e-01,-4.154358580753371444e-02,3.000000000000000000e+00
7.397268518270451843e+00,3.524270186109704639e+01,2.273274430018359737e+01,2.790361393614627872e+01,-1.174002507042333887e+00,-6.448658597140826121e-01,9.169426860465130780e-01,-3.857898172961213290e-02,3.000000000000000000e+00
4.361303813142352936e+00,3.668300253019260282e+01,2.069508250025792506e+01,3.057323306059054957e+01,-1.286322708723657282e+00,-6.984771820059542113e-01,8.448386681566149026e-01,-3.554531383396690447e-02,3.000000000000000000e+00
1.293661684314823201e+00,3.785966372795886059e+01,1.850839002588444870e+01,3.302327590866287466e+01,-1.389404569466864414e+00,-7.433332023184477944e-01,7.721586889871463466e-01,-3.248741323542798237e-02,3.000000000000000000e+00
-1.782823613375361438e+00,3.878392077421317907e+01,1.619811094483021563e+01,3.525325811942187926e+01,-1.483227710515254705e+00,-7.801900519795054167e-01,6.997402576045798073e-01,-2.944051686588380901e-02,3.000000000000000000e+00
-4.848513443907845222e+00,3.946798563414316163e+01,1.378729719273275123e+01,3.726502640479038320e+01,-1.567869829490079692e+00,-8.098006567810587253e-01,6.282209363619452036e-01,-2.643144920056421376e-02,3.000000000000000000e+00
-7.886445234504757096e+00,3.992451327607211198e+01,1.129682562288244618e+01,3.906204671778918680e+01,-1.643476751141675463e+00,-8.328853975640011509e-01,5.580774201650179345e-01,-2.348026645927481573e-02,3.000000000000000000e+00
-1.088215519660499275e+01,4.016629788529127865e+01,8.745416266459990595e+00,4.064905330748028689e+01,-1.710247661865054614e+00,-8.501179183175199272e-01,4.896534253002540193e-01,-2.060142998680537102e-02,3.000000000000000000e+00
-1.382326603946101784e+01,4.020601125718548730e+01,6.149878781585256249e+00,4.203162756919574861e+01,-1.768417390457935223e+00,-8.621162440213627765e-01,4.231892712446388982e-01,-1.780505086300085762e-02,3.000000000000000000e+00
-1.669932196986314921e+01,4.005604046041586486e+01,3.525184656281000528e+00,4.321597831834046843e+01,-1.818247163472111350e+00,-8.694406260748870352e-01,3.588420147271340066e-01,-1.509773701305586538e-02,3.000000000000000000e+00
-1.950141100384643167e+01,3.972837208395221609e+01,8.847497846740814964e-01,4.420866599474096148e+01,-1.860013001527035748e+00,-8.725936264336897619e-01,2.967069721657870085e-01,-1.248349873162277884e-02,3.000000000000000000e+00
-2.222205387896320872e+01,3.923451604496410283e+01,-1.759501744275187463e+00,4.501648412216965056e+01,-1.894000731897938827e+00,-8.720231190826704948e-01,2.368302764256780268e-01,-9.964276989479960850e-03,3.000000000000000000e+00
-2.485489068426132064e+01,3.858548000270643996e+01,-4.396870888144398748e+00,4.564629303653445902e+01,-1.920498992879971834e+00,-8.681260077909382922e-01,1.792234874362678143e-01,-7.540558153239260847e-03,3.000000000000000000e+00
