# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.881036088561846853e+01,-8.656512581140978213e+00,3.008275426929899155e+01,-2.911300995833698835e-07,-2.141568455904518942e-08,-3.481594751999805837e-02,1.086141341394406545e+00,7.989713318827196264e-02,1.000000000000000000e+00
-2.756966426953779958e+01,-1.172202172996431102e+01,2.977665537619956027e+01,3.283994331955319979e+00,2.415723649676333462e-01,-1.672585775349788584e-01,1.078860148606223701e+00,7.936152478465473281e-02,1.000000000000000000e+00
-2.595759792707878688e+01,-1.462951874901187388e+01,2.906942533223255509e+01,6.523644104317082082e+00,4.798827206101513587e-01,-2.993420812928574981e-01,1.056825909347935522e+00,7.774067445732847637e-02,1.000000000000000000e+00
-2.399018662762439646e+01,-1.733658270987691807e+01,2.796420421142590840e+01,9.673833017881264595e+00,7.116122880273442197e-01,-4.296966286068050200e-01,1.019779050948929289e+00,7.501548790295937963e-02,1.000000000000000000e+00
-2.168778467077027017e+01,-1.980135969665941076e+01,2.646844165592171905e+01,1.268874413717398575e+01,9.333907491433561798e-01,-5.568410812333193238e-01,9.675110228558737591e-01,7.117062403222421119e-02,1.000000000000000000e+00
-1.907539215622781015e+01,-2.198283392260526270e+01,2.459427778440604939e+01,1.552202778549426654e+01,1.141808597155088645e+00,-6.791600049218398105e-01,8.998915435361305448e-01,6.619649926647762361e-02,1.000000000000000000e+00
-1.618298025630100412e+01,-2.384124345330393879e+01,2.235897433383573230e+01,1.812710526455054350e+01,1.333439478309760062e+00,-7.948853988954180938e-01,8.169047243856208951e-01,6.009194483157592748e-02,1.000000000000000000e+00
-1.304583668935424612e+01,-2.533861567522975733e+01,1.978539960524616959e+01,2.045758114830974606e+01,1.504870520459136607e+00,-9.020832742173714447e-01,7.186956828586625878e-01,5.286763564443247576e-02,1.000000000000000000e+00
-9.704887726472376741e+00,-2.643946514250386315e+01,1.690253766072806485e+01,2.246781740253532433e+01,1.652744565597274118e+00,-9.986493585563174236e-01,6.056280916528034020e-01,4.455032366157957863e-02,1.000000000000000000e+00
-6.206971255650058694e+00,-2.711166946135611511e+01,1.374600187955956443e+01,2.411369159777897764e+01,1.773815944410366274e+00,-1.082317903347944643e+00,4.783531233506811420e-01,3.518790948359355047e-02,1.000000000000000000e+00
-2.604979450111084116e+00,-2.732755034875867395e+01,1.035848267398383449e+01,2.535358851009029735e+01,1.865023418950912282e+00,-1.150690026337722216e+00,3.378874826056998959e-01,2.485518244406322019e-02,1.000000000000000000e+00
1.042182503765698209e+00,-2.706515297792799757e+01,6.790076102984169637e+00,2.614963389749797074e+01,1.923580939890100039e+00,-1.201287338185022202e+00,1.856973245066313172e-01,1.365999368900229494e-02,1.000000000000000000e+00
4.669904716557587321e+00,-2.630971129176342060e+01,3.098410256292897458e+00,2.646918253363499574e+01,1.947087107060565536e+00,-1.231637526283189121e+00,2.378141052970128566e-02,1.749373172792761250e-03,1.000000000000000000e+00
8.208574304117226106e+00,-2.505524519903708480e+01,-6.515671703233616441e-01,2.628654510351036322e+01,1.933652200825344059e+00,-1.239397462828306873e+00,-1.452586337325341703e-01,-1.068530214601263670e-02,1.000000000000000000e+00
1.158469312723676126e+01,-2.330621871910951981e+01,-4.388182196133692869e+00,2.558489270581081598e+01,1.882038278277381682e+00,-1.222515328066379858e+00,-3.181726515825752943e-01,-2.340494901678509543e-02,1.000000000000000000e+00
1.472261349449009593e+01,-2.107908308451464663e+01,-8.034252806186449547e+00,2.435822881968033471e+01,1.791804232161811061e+00,-1.179428176406682072e+00,-4.910651634497396612e-01,-3.612301389604986174e-02,1.000000000000000000e+00
1.754678527625992501e+01,-1.840356739222997717e+01,-1.150886962691105353e+01,2.261326691489553298e+01,1.663443908876385269e+00,-1.109281636551202377e+00,-6.594601885043076539e-01,-4.851024125980564483e-02,1.000000000000000000e+00
1.998458355391507268e+01,-1.532346644473129516e+01,-1.472987726928653984e+01,2.037099441920354792e+01,1.498501154738416163e+00,-1.012148763996539635e+00,-8.184485193993333851e-01,-6.020550721165034841e-02,1.000000000000000000e+00
2.196957822793907411e+01,-1.189666819726283897e+01,-1.761699774604519675e+01,1.766763725008842201e+01,1.299640767453121626e+00,-8.892129190930797566e-01,-9.629241041333597151e-01,-7.083320785798485897e-02,1.000000000000000000e+00
2.344496414822948793e+01,-8.194276719414501642e+00,-2.009536789331131246e+01,1.455480651840538897e+01,1.070659287710778118e+00,-7.428767474257080838e-01,-1.087897263440090967e+00,-8.002629974533549684e-02,1.000000000000000000e+00
