# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000956518428997910e+01,2.097164669559063999e+00,3.008275423230710288e+01,-2.263829398163608175e-06,-2.032604116963820928e-07,1.533987431991361283e-02,1.255496717748750823e+00,1.127261532606806116e-01,2.000000000000000000e+00
2.959099744724175451e+01,5.888608915882504569e+00,2.992951878816088040e+01,3.796126774519720026e+00,3.408394164094649681e-01,-1.161703371355012754e-01,1.247190179408810051e+00,1.119803415825322973e-01,2.000000000000000000e+00
2.878253001157099078e+01,9.602578236027735414e+00,2.938193121384130535e+01,7.542351307553451178e+00,6.771983051980472457e-01,-2.444801335632038053e-01,1.222684918759048278e+00,1.097801098107987622e-01,2.000000000000000000e+00
2.760113132088241983e+01,1.319230041210165716e+01,2.845365802603879146e+01,1.119102166472333337e+01,1.004798185042849568e+00,-3.670232645791879911e-01,1.183026586531088720e+00,1.062193428461442324e-01,2.000000000000000000e+00
2.607071861112158473e+01,1.661544675676228167e+01,2.716560740087678028e+01,1.469842065315161506e+01,1.319713859712932535e+00,-4.816056808047204374e-01,1.129735694694056214e+00,1.014345615275666496e-01,2.000000000000000000e+00
2.422078466302395938e+01,1.983528563985111148e+01,2.554463968347941716e+01,1.802600501738555039e+01,1.618484680637965800e+00,-5.864974796141290136e-01,1.064669263728603488e+00,9.559250048077311268e-02,2.000000000000000000e+00
2.208490940358089460e+01,2.282130974470395657e+01,2.362212633868926659e+01,2.114113200800193937e+01,1.898179782669270788e+00,-6.804688438018258179e-01,9.898735297925502774e-01,8.887688326909362613e-02,2.000000000000000000e+00
1.969915580211597472e+01,2.554959539987268258e+01,2.143237480000124862e+01,2.401752778219182360e+01,2.156440139941340206e+00,-7.627828826180874655e-01,9.074421449166405473e-01,8.147569074214391915e-02,2.000000000000000000e+00
1.710074365834181265e+01,2.800254462076831530e+01,1.901128750108039966e+01,2.663512318814608903e+01,2.391463821592337613e+00,-8.331437613726178082e-01,8.194033421329529610e-01,7.357103003281431630e-02,2.000000000000000000e+00
1.432673197487947903e+01,3.016857846285575562e+01,1.639502607662629075e+01,2.897984057799377666e+01,2.601986850529356854e+00,-8.916292120645048502e-01,7.276308532943808194e-01,6.533113621574324070e-02,2.000000000000000000e+00
1.141316071404331822e+01,3.204140990088038876e+01,1.361910451724147464e+01,3.104293095344784703e+01,2.787223688321402548e+00,-9.386066185095059966e-01,6.337934166276111281e-01,5.690583878744320118e-02,2.000000000000000000e+00
8.394255195408435455e+00,3.361939096642419855e+01,1.071754998947244708e+01,3.282038054292126361e+01,2.946813954073264963e+00,-9.746550610461053310e-01,5.393256143700017047e-01,4.842394329146308685e-02,2.000000000000000000e+00
5.302001099716668442e+00,3.490471786700260282e+01,7.722423459960017667e+00,3.431215054066365866e+01,3.080754163567979376e+00,-1.000492162048285838e+00,4.454251405806399222e-01,3.999298600579984098e-02,2.000000000000000000e+00
2.165844356698209516e+00,3.590271674721728346e+01,4.663470521492480536e+00,3.552148829826235499e+01,3.189335883838378294e+00,-1.016914034423461732e+00,3.530630787802347959e-01,3.170015673209679308e-02,2.000000000000000000e+00
-9.873996399122212386e-01,3.662116637517675599e+01,1.567983611155975066e+00,3.645426066957681854e+01,3.273085876809020522e+00,-1.024747465064477447e+00,2.630053141806869554e-01,2.361422131621902787e-02,2.000000000000000000e+00
-4.133581482293339882e+00,3.706972058456585017e+01,-1.539273616783860099e+00,3.711838262778624653e+01,3.332714797049559863e+00,-1.024814598726350612e+00,1.758369408037109838e-01,1.578771306823519710e-02,2.000000000000000000e+00
-7.251095335270554720e+00,3.725939591864015910e+01,-4.635979893446545930e+00,3.752329970406570681e+01,3.369070721962205361e+00,-1.017907926830332599e+00,9.199025560288816294e-02,8.259446245446524365e-03,2.000000000000000000e+00
-1.032072289174830715e+01,3.720215988476766000e+01,-7.702129374533613237e+00,3.767956805475512994e+01,3.383101447650756821e+00,-1.004774323688557347e+00,1.177119604905039335e-02,1.056889780059399112e-03,2.000000000000000000e+00
-1.332549985069195131e+01,3.691059546164073168e+01,-1.071992183145680855e+01,3.759851185474304458e+01,3.375823727608863400e+00,-9.861055512213929841e-01,-6.461781974684098484e-02,-5.801781995268523624e-03,2.000000000000000000e+00
-1.625050836030162316e+01,3.639762737040717155e+01,-1.367357468201544890e+01,3.729193691711382996e+01,3.348297559745164520e+00,-9.625338071720339617e-01,-1.370562753459611816e-01,-1.230574837956579376e-02,2.000000000000000000e+00
