# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-1.838325169320350339e-01,-3.310411364921277827e-02,5.299382441654189313e-02,1.253112371418301785e-01,-1.279805650939222772e-01,9.359507219172634451e-04,-2.328993135781775095e-02,1.633234698114647415e-02
-1.823342649402457938e-01,-3.338845532573751079e-02,5.304009572656764870e-02,1.240644746511207763e-01,-1.271036092925628413e-01,8.037636685272473228e-04,-2.360080881245921539e-02,1.665034263483701829e-02
-1.808115974302487439e-01,-3.366831112128999132e-02,5.307925175260170408e-02,1.228011053733442798e-01,-1.262096291552551597e-01,6.683652192297530326e-04,-2.391577963681478652e-02,1.697354190786105541e-02
-1.792640797762528881e-01,-3.394354765194450285e-02,5.311111964255148254e-02,1.215208554672612407e-01,-1.252983055833005732e-01,5.296122643576798954e-04,-2.423501423334360402e-02,1.730216793327710514e-02
-1.776913597819211321e-01,-3.421400717072362735e-02,5.313551647455079519e-02,1.202235232325316316e-01,-1.243693651120167942e-01,3.873619002432429279e-04,-2.455867092453041522e-02,1.763643489504702899e-02
-1.760930065184156401e-01,-3.447953618526948538e-02,5.315225253599256683e-02,1.189088458003696169e-01,-1.234224849896487786e-01,2.414564360039804514e-04,-2.488692965372821600e-02,1.797658295901140638e-02
-1.744686331993709483e-01,-3.473996368641363991e-02,5.316112886455462427e-02,1.175766007534439772e-01,-1.224573655624742047e-01,9.173384462661960531e-05,-2.521996712499153734e-02,1.832285292616345207e-02
-1.728177739647307198e-01,-3.499512096354070317e-02,5.316193797392627929e-02,1.162265050442686659e-01,-1.214736570842773755e-01,-6.198422021448397184e-05,-2.555798259022392868e-02,1.867551331401539130e-02
-1.711399665921964075e-01,-3.524482708173218293e-02,5.315446231271180044e-02,1.148582833453065111e-01,-1.204710084809415549e-01,-2.198857002002618799e-04,-2.590118138857894214e-02,1.903484370928622271e-02
-1.694347964145804797e-01,-3.548888262957713979e-02,5.313847470515772192e-02,1.134717037472371820e-01,-1.194490936803406095e-01,-3.821647164510329903e-04,-2.624976657956533399e-02,1.940112630738655489e-02
