# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.871825786326179752e+01,-2.354992408729080822e+01,3.008275422817401790e+01,1.781409721957061265e-07,8.158001607583287296e-09,-1.911381873315832758e-01,1.070980434482192933e+00,4.904576492745640892e-02,3.000000000000000000e+00
-1.569423637572801944e+01,-2.495464619147182361e+01,2.930080070523179359e+01,3.237979596540354166e+00,1.482839284628022503e-01,-3.257238662374689064e-01,1.063566634519064857e+00,4.870624846337966857e-02,3.000000000000000000e+00
-1.244869400546142479e+01,-2.600620107077627807e+01,2.810453849771051082e+01,6.429672828764507742e+00,2.944481635395188590e-01,-4.643864702670648659e-01,1.040123400717636093e+00,4.763266084483443880e-02,3.000000000000000000e+00
-9.015526369464193834e+00,-2.666442891960892325e+01,2.648361970122289577e+01,9.523610582575710026e+00,4.361356667729214820e-01,-6.057198721210345083e-01,9.987079312398816633e-01,4.573603106994196532e-02,3.000000000000000000e+00
-5.436591039576194717e+00,-2.688932405448431950e+01,2.443277119568067590e+01,1.246219296860923187e+01,5.707086396163021380e-01,-7.477598354182454221e-01,9.372376829956549082e-01,4.292098865800809959e-02,3.000000000000000000e+00
-1.763097518423059729e+00,-2.664237700881402304e+01,2.195371016666552677e+01,1.518143672491978080e+01,6.952369556886143220e-01,-8.878232868467558214e-01,8.535964095964174714e-01,3.909061967899355589e-02,3.000000000000000000e+00
1.942975713953113637e+00,-2.588857886596909808e+01,1.905759489617524949e+01,1.761111290191438883e+01,8.065044660837351609e-01,-1.022336000653925492e+00,7.458216303781892709e-01,3.415505193521735372e-02,3.000000000000000000e+00
5.607746536329306863e+00,-2.459927718180286504e+01,1.576796650415149870e+01,1.967563470184299845e+01,9.010496581589423348e-01,-1.146682292882800214e+00,6.124023228603563407e-01,2.804508784752846040e-02,3.000000000000000000e+00
9.144955410324509870e+00,-2.275598515895912755e+01,1.212402571049428701e+01,2.129605466133991598e+01,9.752571169120700656e-01,-1.255132846560509385e+00,4.527096569428878392e-01,2.073193001471165461e-02,3.000000000000000000e+00
1.245662931452075561e+01,-2.035515025775703535e+01,8.183952768232941821e+00,2.239354790515793425e+01,1.025517041288555031e+00,-1.340936417466489061e+00,2.675623121816359529e-01,1.225307003208882251e-02,3.000000000000000000e+00
1.543567616654477881e+01,-1.741351875017033635e+01,4.027492724699238025e+00,2.289477549986247595e+01,1.048470860045215280e+00,-1.396691374488998161e+00,5.986497871536855531e-02,2.741528770206461130e-03,3.000000000000000000e+00
1.797093986710945046e+01,-1.397339447947832802e+01,-2.430731989512011637e-01,2.273910630023841861e+01,1.041341957662513806e+00,-1.415094218574379337e+00,-1.648201731726482988e-01,-7.547973061372267867e-03,3.000000000000000000e+00
1.995513130800173940e+01,-1.010643122969814733e+01,-4.504893672463926357e+00,2.188717638233427820e+01,1.002327655306564758e+00,-1.390083831203159592e+00,-3.980185456863758464e-01,-1.822733954793516117e-02,3.000000000000000000e+00
2.129510049876211042e+01,-5.914365101074655406e+00,-8.620365504674886381e+00,2.032937726149745572e+01,9.309879304854469240e-01,-1.318217867710733904e+00,-6.286848138032095079e-01,-2.879074780312113058e-02,3.000000000000000000e+00
2.192292859246424541e+01,-1.525198248075957386e+00,-1.244702290026337188e+01,1.809215797136656789e+01,8.285340220272762179e-01,-1.199900434686657524e+00,-8.443186051562256988e-01,-3.866574075407037264e-02,3.000000000000000000e+00
2.180531383540461832e+01,2.915651111201766010e+00,-1.585030574654801150e+01,1.523986412460183715e+01,6.979126502371465479e-01,-1.039959250185319428e+00,-1.032737400878106726e+00,-4.729441749302293330e-02,3.000000000000000000e+00
2.094856986903790386e+01,7.258005418380573559e+00,-1.871657784894581411e+01,1.187077958571869729e+01,5.436247445064672501e-01,-8.472133592723107842e-01,-1.184028317388730045e+00,-5.422281551779827707e-02,3.000000000000000000e+00
1.939765513486317872e+01,1.136069428273985338e+01,-2.096329994782117723e+01,8.107810543051387597e+00,3.712988185102672478e-01,-6.330744685983813458e-01,-1.292029091037113941e+00,-5.916873272206830958e-02,3.000000000000000000e+00
1.722955611036590540e+01,1.510323601094721369e+01,-2.254405734458560318e+01,4.086050140982552037e+00,1.871214900329370989e-01,-4.096545006159721947e-01,-1.354865804805989615e+00,-6.204635269820930887e-02,3.000000000000000000e+00
1.454306110303066291e+01,1.839316117872651546e+01,-2.344793006554971271e+01,-5.977074408948013229e-02,-2.737213276514327553e-03,-1.880147755022180123e-01,-1.374504227908118548e+00,-6.294569824365676969e-02,3.000000000000000000e+00
