# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.982311787972191652e+01,3.943823892297510625e+00,3.008275431141969847e+01,2.270751982891283660e-06,-1.127030699044073714e-07,2.395599305751844321e-02,1.057244906118826266e+00,-5.247369473421065189e-02,1.000000000000000000e+00
-3.011656824134319521e+01,7.541455975776247822e-01,2.995550758467007313e+01,3.196687458846263041e+00,-1.586595507865474763e-01,-1.077512641915702729e-01,1.050237306095876955e+00,-5.212589011269341127e-02,1.000000000000000000e+00
-3.001096723272822686e+01,-2.445535906382064084e+00,2.943134218716921069e+01,6.351026316251452641e+00,-3.152172351355468916e-01,-2.378490725782216320e-01,1.029319451062657320e+00,-5.108768493132526817e-02,1.000000000000000000e+00
-2.950709947383976939e+01,-5.612733227947608761e+00,2.851660603165940699e+01,9.421052670067084023e+00,-4.675902801923346730e-01,-3.653635168528232002e-01,9.946039769211862946e-01,-4.936466959012087569e-02,1.000000000000000000e+00
-2.860875468187708037e+01,-8.704816077748333214e+00,2.722064492566099503e+01,1.236505233874152587e+01,-6.137083073566833580e-01,-4.892852728740068047e-01,9.461495407639245458e-01,-4.695975538649671543e-02,1.000000000000000000e+00
-2.732286448467834106e+01,-1.167885752429493351e+01,2.555595835984368591e+01,1.514142881608625757e+01,-7.515067785493707575e-01,-6.085344341154420578e-01,8.839722451017646421e-01,-4.387374152812562739e-02,1.000000000000000000e+00
-2.565975719119492737e+01,-1.449148549056624091e+01,2.353847154832482147e+01,1.770858958970786645e+01,-8.789213539131608410e-01,-7.219238589746279633e-01,8.080637407031785457e-01,-4.010621362187698907e-02,1.000000000000000000e+00
-2.363353343846531374e+01,-1.709879419337201156e+01,2.118791944376016545e+01,2.002490763914060778e+01,-9.938859808693440989e-01,-8.281221376110381449e-01,7.184173710018805226e-01,-3.565684128580692835e-02,1.000000000000000000e+00
-2.126255867748455231e+01,-1.945634361885136698e+01,1.852833504145275256e+01,2.204878540165581313e+01,-1.094336068899982584e+00,-9.256165618425504782e-01,6.150643186014042030e-01,-3.052717219009984731e-02,1.000000000000000000e+00
-1.857008535682776440e+01,-2.151926431242490168e+01,1.558865245518231113e+01,2.373883999759645747e+01,-1.178217682742037642e+00,-1.012676658486640235e+00,4.981232060041280163e-01,-2.472309386463876144e-02,1.000000000000000000e+00
-1.558501707082485055e+01,-2.324251439804077890e+01,1.240343077518104487e+01,2.505425777417713462e+01,-1.243505139278140215e+00,-1.087321007997972933e+00,3.678674044640354301e-01,-1.825817440480781081e-02,1.000000000000000000e+00
-1.234276503585223139e+01,-2.458137737107929155e+01,9.013637892122535078e+00,2.595539934069258337e+01,-1.288231036939098129e+00,-1.147293472995736474e+00,2.248124980226944292e-01,-1.115800352917693111e-02,1.000000000000000000e+00
-8.886217970377789044e+00,-2.549223653044769122e+01,5.467510478917584571e+00,2.640469336700967773e+01,-1.310530617146503651e+00,-1.190055205951598749e+00,6.982993482704677457e-02,-3.465833377127132235e-03,1.000000000000000000e+00
-5.266741319795052334e+00,-2.593374221309142769e+01,1.821391567934550260e+00,2.636792315789467267e+01,-1.308705620197123887e+00,-1.212805706053510235e+00,-9.571196132104653476e-02,4.750422737159733233e-03,1.000000000000000000e+00
-1.545082867983632813e+00,-2.586846026885404015e+01,-1.859587767343981568e+00,2.581597747014278355e+01,-1.281311182672445703e+00,-1.212549666497739320e+00,-2.697822821002326954e-01,1.338996578152842898e-02,1.000000000000000000e+00
2.207889925468942582e+00,-2.526508321957640391e+01,-5.501067320144008121e+00,2.472713643823926333e+01,-1.227269293615789625e+00,-1.186230997809294863e+00,-4.495024018740164107e-01,2.230992240465864279e-02,1.000000000000000000e+00
5.910963335752442482e+00,-2.410127465019577642e+01,-9.019606014026436469e+00,2.308991761864916015e+01,-1.146010050790343460e+00,-1.130959192369003441e+00,-6.309681501242969670e-01,3.131651891157065382e-02,1.000000000000000000e+00
9.473125836501997910e+00,-2.236709668477262625e+01,-1.232367497239538601e+01,2.090639789194375808e+01,-1.037636534945388878e+00,-1.044347437332437289e+00,-8.091170582968273406e-01,4.015849239432359163e-02,1.000000000000000000e+00
1.279525454354901726e+01,-2.006885935134510035e+01,-1.531583405577132950e+01,1.819580409342963634e+01,-9.031030217466140542e-01,-9.249676267824659126e-01,-9.777011763870346872e-01,4.852574155154715935e-02,1.000000000000000000e+00
1.577334965091034213e+01,-1.723299210770867873e+01,-1.789644593624896629e+01,1.499792289532519796e+01,-7.443842227110911702e-01,-7.728926803879203611e-01,-1.129445139473981063e+00,5.605717192373456392e-02,1.000000000000000000e+00
