# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.923815616550292873e+01,-2.276269183370430937e+00,2.913716795582559982e+01,-3.328155775727554389e+00,2.024254494581434471e-08,6.073967753748892306e-01,5.794308927474251192e+00,6.171899999999964637e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.923857874981435856e+01,-2.270097871166318004e+00,2.913780869355118952e+01,-3.322037893689608445e+00,6.516691953414033289e-04,6.063147204908917454e-01,5.794432408854198080e+00,6.171899878993579724e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.923900013339258663e+01,-2.263927266163232588e+00,2.913844820634884769e+01,-3.315920670721134833e+00,1.303234049915363846e-03,6.052327751354086294e-01,5.794555647868064874e+00,6.171899516050027845e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.923942042333005631e+01,-2.257755800133812052e+00,2.913908665674743403e+01,-3.309802552161539957e+00,1.954880398106206840e-03,6.041506643545981881e-01,5.794678675833138115e+00,6.171898911075666128e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.923983956598623379e+01,-2.251584257501013209e+00,2.913972396337732107e+01,-3.303684315645051051e+00,2.606525410738802506e-03,6.030685257041602521e-01,5.794801477065202100e+00,6.171898064099868852e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924025756134695087e+01,-2.245412638473694766e+00,2.914036012621696514e+01,-3.297565961378725596e+00,3.258169065760152527e-03,6.019863592376990535e-01,5.794924051556842315e+00,6.171896975121278217e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924067440939794693e+01,-2.239240943262028161e+00,2.914099514524467338e+01,-3.291447489570918705e+00,3.909811340978674998e-03,6.009041650090511943e-01,5.795046399300635365e+00,6.171895644138554182e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924109011012512838e+01,-2.233069172074996445e+00,2.914162902043895897e+01,-3.285328900428812648e+00,4.561452214328909349e-03,5.998219430718463308e-01,5.795168520289194269e+00,6.171894071150368921e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924150461090862052e+01,-2.226898109403484316e+00,2.914226167144774848e+01,-3.279210971691354892e+00,5.213008857847062361e-03,5.987398310065228380e-01,5.795290399040051277e+00,6.171892256401420029e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924191801709167393e+01,-2.220726186903519306e+00,2.914289325905605565e+01,-3.273092148518290223e+00,5.864646861317185378e-03,5.976575538168268364e-01,5.795412066524834316e+00,6.171890199429145296e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924233027590869227e+01,-2.214554189056674005e+00,2.914352370276650461e+01,-3.266973208633999981e+00,6.516283396561906027e-03,5.965752490797427976e-01,5.795533507232283554e+00,6.171887900447525777e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924274138734572404e+01,-2.208382116071764045e+00,2.914415300255775776e+01,-3.260854152245503457e+00,7.167918441534582019e-03,5.954929168488788394e-01,5.795654721155074185e+00,6.171885359455292486e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924315135138877508e+01,-2.202209968158915565e+00,2.914478115840840999e+01,-3.254734979561122010e+00,7.819551974050514831e-03,5.944105571780748942e-01,5.795775708285873407e+00,6.171882576451205304e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924356016802397917e+01,-2.196037745527008145e+00,2.914540817029719477e+01,-3.248615690787944210e+00,8.471183972057011458e-03,5.933281701209540682e-01,5.795896468617384834e+00,6.171879551434026334e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924396783723741677e+01,-2.189865448385817093e+00,2.914603403820278160e+01,-3.242496286133944139e+00,9.122814413406871159e-03,5.922457557312990062e-01,5.796017002142312968e+00,6.171876284402544321e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924437435901532112e+01,-2.183693076944166922e+00,2.914665876210402473e+01,-3.236376765806157518e+00,9.774443276053979002e-03,5.911633140627265970e-01,5.796137308853388070e+00,6.171872775355556895e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924477973334383663e+01,-2.177520631412253937e+00,2.914728234197963275e+01,-3.230257130012980760e+00,1.042607053780741921e-02,5.900808451690970902e-01,5.796257388743335959e+00,6.171869024291879446e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924518396020924271e+01,-2.171348111999086505e+00,2.914790477780850253e+01,-3.224137378961635214e+00,1.107769617660211980e-02,5.889983491040636787e-01,5.796377241804919755e+00,6.171865031210347352e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924558703959782591e+01,-2.165175518913973640e+00,2.914852606956951675e+01,-3.218017512859638884e+00,1.172932017034158947e-02,5.879158259213348448e-01,5.796496868030908800e+00,6.171860796109808200e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924598897149589050e+01,-2.159002852366702641e+00,2.914914621724156163e+01,-3.211897531914987169e+00,1.238094249687912707e-02,5.868332756747037804e-01,5.796616267414078649e+00,6.171856318989124013e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924638975588981182e+01,-2.152830112566586962e+00,2.914976522080361576e+01,-3.205777436335208286e+00,1.303256313411846334e-02,5.857506984178835197e-01,5.796735439947232393e+00,6.171851599847172354e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924678939276599721e+01,-2.146657299722705137e+00,2.915038308023469682e+01,-3.199657226327595971e+00,1.368418205998822579e-02,5.846680942045467955e-01,5.796854385623186445e+00,6.171846638682854103e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924718793267528838e+01,-2.140483629631737550e+00,2.915099987380911628e+01,-3.193536124363567819e+00,1.433588205532948523e-02,5.835853255133591766e-01,5.796973119506327876e+00,6.171841434818509109e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924758527432951993e+01,-2.134310671320255981e+00,2.915161544476994848e+01,-3.187415686109604351e+00,1.498749749182165525e-02,5.825026675449442859e-01,5.797091611417537926e+00,6.171835989575443771e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924798146842545066e+01,-2.128137640593414037e+00,2.915222987153702761e+01,-3.181295134050863282e+00,1.563911115060895307e-02,5.814199827812512877e-01,5.797209876450072130e+00,6.171830302306792193e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924837651494962287e+01,-2.121964537661192640e+00,2.915284315408947080e+01,-3.175174468395539851e+00,1.629072300952635888e-02,5.803372712761194485e-01,5.797327914596794862e+00,6.171824373011508547e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924877041388863574e+01,-2.115791362732682757e+00,2.915345529240648048e+01,-3.169053689350949554e+00,1.694233304650286098e-02,5.792545330832331585e-01,5.797445725850599807e+00,6.171818201688571426e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924916316522915949e+01,-2.109618116017154765e+00,2.915406628646733367e+01,-3.162932797124587303e+00,1.759394123944901800e-02,5.781717682563102256e-01,5.797563310204391307e+00,6.171811788336969418e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924955476895781104e+01,-2.103444797724597581e+00,2.915467613625122567e+01,-3.156811791924659438e+00,1.824554756619956031e-02,5.770889768491971328e-01,5.797680667651076369e+00,6.171805132955712203e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.924994527460494709e+01,-2.097270623586866112e+00,2.915528491901498498e+01,-3.150689896120953293e+00,1.889723480605981498e-02,5.760060213167025323e-01,5.797797813053330529e+00,6.171798234651963977e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925033458292427468e+01,-2.091097162758754013e+00,2.915589248003760403e+01,-3.144568665581822131e+00,1.954883733393816825e-02,5.749231769069658160e-01,5.797914716635789389e+00,6.171791095177717734e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925072274359200719e+01,-2.084923630981832421e+00,2.915649889672132389e+01,-3.138447322692027530e+00,2.020043792931217053e-02,5.738403060782830689e-01,5.798031393289984514e+00,6.171783713670931926e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925110975659498180e+01,-2.078750028465562671e+00,2.915710416904558144e+01,-3.132325867659258023e+00,2.085203657007364542e-02,5.727574088844148426e-01,5.798147843008886859e+00,6.171776090130670633e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925149567088031333e+01,-2.072575570905793363e+00,2.915770837368565083e+01,-3.126203522796256351e+00,2.150371603454057090e-02,5.716743477667670659e-01,5.798264080539883736e+00,6.171768223541140852e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925188038836857274e+01,-2.066401827530003565e+00,2.915831135708398847e+01,-3.120081844086150191e+00,2.215531069952855758e-02,5.705913980004340136e-01,5.798380076338359501e+00,6.171760115900453147e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925226395815279901e+01,-2.060228014043233191e+00,2.915891319606136989e+01,-3.113960053856134280e+00,2.280690334358340121e-02,5.695084220302077949e-01,5.798495845180561048e+00,6.171751766223600999e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925264638021998920e+01,-2.054054130654597188e+00,2.915951389059740251e+01,-3.107838152313561864e+00,2.345849394463470072e-02,5.684254199097954485e-01,5.798611387059531275e+00,6.171743174509715102e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925302770293398069e+01,-2.047879393025433981e+00,2.916011351678571017e+01,-3.101715361715610797e+00,2.411016527985559987e-02,5.673422540674971648e-01,5.798726716607325748e+00,6.171734339620029708e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925340782938232209e+01,-2.041705370453448243e+00,2.916071192223243358e+01,-3.095593238157746896e+00,2.476175172822814297e-02,5.662591998048605024e-01,5.798841804510137976e+00,6.171725263798784056e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925378680807480336e+01,-2.035531278608469385e+00,2.916130918317674769e+01,-3.089471003910909008e+00,2.541333606722717686e-02,5.651761195534406035e-01,5.798956665428906199e+00,6.171715945938002212e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
2.925416468693785887e+01,-2.029356333124400891e+00,2.916190537527615234e+01,-3.083347881189062889e+00,2.606500107333059590e-02,5.640928757314580544e-01,5.799071313909211156e+00,6.171706384806692203e-01,1.000000000000000000e+00,4.913430265425187682e-01,1.621610652952490739e+00
