# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.927572015386723692e+01,1.727248515966840703e+00,2.913716806998692732e+01,-3.328154867909911996e+00,1.113407108177533189e-07,7.118955996192558588e-01,5.828948644011314961e+00,5.911500000000019517e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927540087481871467e+01,1.733471180660381750e+00,2.913791906836080159e+01,-3.322001007155076735e+00,6.242060864027343392e-04,7.108136531322607476e-01,5.829072112085682988e+00,5.911499884088139423e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927508044759440864e+01,1.739693787694229998e+00,2.913866892571920530e+01,-3.315847005990312013e+00,1.248301840194115941e-03,7.097316823602227709e-01,5.829195351242129064e+00,5.911499536435956825e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927475887220500184e+01,1.745916336860918072e+00,2.913941764203713802e+01,-3.309692864620798147e+00,1.872398581277134877e-03,7.086496873586151102e-01,5.829318361475491983e+00,5.911498957044648561e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927443614866117727e+01,1.752138827953711342e+00,2.914016521728972009e+01,-3.303538583250998251e+00,2.496496288917043893e-03,7.075676681827830494e-01,5.829441142780633633e+00,5.911498145915394797e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927411227697364993e+01,1.758361260765875178e+00,2.914091165145210738e+01,-3.297384162085377213e+00,3.120594942379040226e-03,7.064856248880735379e-01,5.829563695152430114e+00,5.911497103049396795e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927378725715322716e+01,1.764583635089950198e+00,2.914165694449943089e+01,-3.291229601329130894e+00,3.744694520855296194e-03,7.054035575299624217e-01,5.829686018585763740e+00,5.911495828447873579e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927346092147459089e+01,1.770809144986091654e+00,2.914240147813096371e+01,-3.285071741579999038e+00,4.369115391465949738e-03,7.043209106562560162e-01,5.829808175695063710e+00,5.911494321279258113e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927313360483141125e+01,1.777031401683506262e+00,2.914314448828805126e+01,-3.278916902184539683e+00,4.993216758213930850e-03,7.032387953251112434e-01,5.829930041118691619e+00,5.911492583091442210e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927280514008788614e+01,1.783253599271812817e+00,2.914388635725580201e+01,-3.272761923812722351e+00,5.617318987687747178e-03,7.021566560967722470e-01,5.830051677588622638e+00,5.911490613171851427e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927247552725492952e+01,1.789475737544285572e+00,2.914462708500955657e+01,-3.266606806669043461e+00,6.241422059152262891e-03,7.010744930265937480e-01,5.830173085099818131e+00,5.911488411521770292e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927214476634349083e+01,1.795697816294201665e+00,2.914536667152471239e+01,-3.260451550957995437e+00,6.865525951872397670e-03,6.999923061699293569e-01,5.830294263647244790e+00,5.911485978142491104e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927181285736460126e+01,1.801919835314113705e+00,2.914610511677661009e+01,-3.254296156884799451e+00,7.489630645040240564e-03,6.989100955822619143e-01,5.830415213225887072e+00,5.911483313035332809e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927147980032928132e+01,1.808141794397303270e+00,2.914684242074071108e+01,-3.248140624653960806e+00,8.113736117920683499e-03,6.978278613189476953e-01,5.830535933830748085e+00,5.911480416201622123e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927114559524861193e+01,1.814363693336810579e+00,2.914757858339249452e+01,-3.241984954470227720e+00,8.737842349754304516e-03,6.967456034353866068e-01,5.830656425456843373e+00,5.911477287642705747e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
2.927081024213369886e+01,1.820585531925921652e+00,2.914831360470750354e+01,-3.235829146538115708e+00,9.361949319805940029e-03,6.956633219869382545e-01,5.830776688099216010e+00,5.911473927359944813e-01,1.000000000000000000e+00,5.651654580612363032e-01,1.334606733173359316e+00
