# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
-9.090098976954873677e+00,2.788227111062720098e+01,2.913715995674539982e+01,-3.328190402062464415e+00,-2.033236690845985351e-06,1.224914762116239952e+00,5.286447767561567979e+00,3.121299999997670382e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
-9.095768734347972284e+00,2.788111304078198316e+01,2.913846348338912051e+01,-3.322562110739477603e+00,3.302764617972298034e-04,1.223823695893448305e+00,5.286572286375181839e+00,3.121299938542980712e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
-9.101354159797484300e+00,2.787997103673984611e+01,2.913974656699282662e+01,-3.317017053079974076e+00,6.576641570177343965e-04,1.222748813936722856e+00,5.286694746620695717e+00,3.121299756328107522e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
-9.107023449239701307e+00,2.787881070892012403e+01,2.914104784551705762e+01,-3.311388248757520358e+00,9.899885930222951380e-04,1.221657747933998950e+00,5.286818836002468380e+00,3.121299447874207322e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
-9.112608413230379512e+00,2.787766648048872753e+01,2.914232871424528071e+01,-3.305842686154063514e+00,1.317390780819660545e-03,1.220582866274593892e+00,5.286940873205102420e+00,3.121299022340198182e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
-9.118277233810518467e+00,2.787650389488099023e+01,2.914362774444087378e+01,-3.300213369736830771e+00,1.649729900927932036e-03,1.219491800655234215e+00,5.287064533193727378e+00,3.121298466920076065e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
-9.123861735444737775e+00,2.787535744224424406e+01,2.914490639808775541e+01,-3.294667303080714760e+00,1.977146528681583693e-03,1.218416919453998881e+00,5.287186147391637725e+00,3.121297798099446075e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
-9.129446007294717447e+00,2.787420988588297632e+01,2.914618395239326176e+01,-3.289120986612527275e+00,2.304570302918473867e-03,1.217342038539871885e+00,5.287307551681728945e+00,3.121297008556516706e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
-9.135114124631011023e+00,2.787304392237768624e+01,2.914747961810575205e+01,-3.283490905656943681e+00,2.636931294513866764e-03,1.216250973799164026e+00,5.287430569257248969e+00,3.121296083671413757e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
-9.140697932781138846e+00,2.787189414208699034e+01,2.914875495702244734e+01,-3.277944086470300888e+00,2.964369429942215195e-03,1.215176093583884009e+00,5.287551550599796535e+00,3.121295050890567913e-01,1.000000000000000000e+00,1.108616823904098547e+00,5.995093954811771653e+00
