# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
1.044300406278327564e+01,-2.740427689225008123e+01,2.913716763828201906e+01,-3.328090723082448577e+00,1.886913285176206045e-06,-2.585306181353978078e-02,5.666036891177960833e+00,1.638699999996084955e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.044830742189752470e+01,-2.740149956871346149e+01,2.913713976311205300e+01,-3.322106709747551179e+00,1.749513648655609543e-04,-2.693542411980250767e-02,5.666160409127353859e+00,1.638699967150505366e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.045361024341112532e+01,-2.739872123705205453e+01,2.913711074552212565e+01,-3.316122710169867815e+00,3.480116423894563660e-04,-2.801783749542533300e-02,5.666283710725812384e+00,1.638699870012506332e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.045891252712853081e+01,-2.739594189736829932e+01,2.913708058551329927e+01,-3.310138724570061086e+00,5.210677394752449842e-04,-2.910030189625106845e-02,5.666406795952255493e+00,1.638699708577447955e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.046421427285482508e+01,-2.739316154976437900e+01,2.913704928308669295e+01,-3.304154753168113245e+00,6.941196497610713223e-04,-3.018281727823962993e-02,5.666529664785626252e+00,1.638699482840693389e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.046951548039523594e+01,-2.739038019434242699e+01,2.913701683824345068e+01,-3.298170796183853781e+00,8.671673668896873188e-04,-3.126538359736909245e-02,5.666652317204883715e+00,1.638699192797608006e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.047481614955419005e+01,-2.738759783120505631e+01,2.913698325098476261e+01,-3.292186853838044769e+00,1.040210884476922004e-03,-3.234800080943910777e-02,5.666774753188970948e+00,1.638698838443560235e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.048011628013711594e+01,-2.738481446045440038e+01,2.913694852131187218e+01,-3.286202926350339837e+00,1.213250196170745365e-03,-3.343066887044195828e-02,5.666896972716869207e+00,1.638698419773922110e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.048541587194896962e+01,-2.738203008219289103e+01,2.913691264922605484e+01,-3.280219013940950390e+00,1.386285295603417733e-03,-3.451338773625834550e-02,5.667018975767549982e+00,1.638697936784067333e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.049071492479447798e+01,-2.737924469652311998e+01,2.913687563472863218e+01,-3.274235116830359615e+00,1.559316176399094811e-03,-3.559615736271320302e-02,5.667140762319993641e+00,1.638697389469373489e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.049601343847887769e+01,-2.737645830354745513e+01,2.913683747782096134e+01,-3.268251235238501806e+00,1.732342832198308091e-03,-3.667897770572221827e-02,5.667262332353195653e+00,1.638696777825220108e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.050131141280752978e+01,-2.737367090336826436e+01,2.913679817850444564e+01,-3.262267369385194016e+00,1.905365256644808714e-03,-3.776184872120926656e-02,5.667383685846169250e+00,1.638696101846990605e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.050660884758492486e+01,-2.737088249608840229e+01,2.913675773678053460e+01,-3.256283519491256939e+00,2.078383443353704063e-03,-3.884477036491268409e-02,5.667504822777910789e+00,1.638695361530070616e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.051190574261646482e+01,-2.736809308181030786e+01,2.913671615265072035e+01,-3.250299685776505854e+00,2.251397385969189369e-03,-3.992774259274133736e-02,5.667625743127448601e+00,1.638694556869848273e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.051720209770727088e+01,-2.736530266063660122e+01,2.913667342611652344e+01,-3.244315868461088215e+00,2.424407078125911941e-03,-4.101076536053462063e-02,5.667746446873811017e+00,1.638693687861715320e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
1.052249791266272894e+01,-2.736251123266981367e+01,2.913662955717951775e+01,-3.238332067764883249e+00,2.597412513466679229e-03,-4.209383862417349909e-02,5.667866933996043244e+00,1.638692754501066828e-01,1.000000000000000000e+00,1.334503585551343186e+00,2.840897772720424541e+00
