# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.881346792736547258e+01,-5.462164737374291867e+00,2.913716793038089037e+01,-3.328156038456945964e+00,-1.515429101650589416e-09,4.661270108476344154e-01,6.134293218099614364e+00,1.278900000000001147e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.881443481021691966e+01,-5.455740183833682089e+00,2.913765951271915355e+01,-3.321679166980506359e+00,1.350293217071557583e-04,4.650449444139388433e-01,6.134416694457271113e+00,1.278899974927482364e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.881540055514531318e+01,-5.449315470211377743e+00,2.913814994844376827e+01,-3.315202219537813022e+00,2.700590219625320643e-04,4.639628416092883012e-01,6.134539932349619917e+00,1.278899899707961751e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.881636516212225629e+01,-5.442890596696293493e+00,2.913863923754031404e+01,-3.308725196319316719e+00,4.050875813665782976e-04,4.628807024966248851e-01,6.134662931763394944e+00,1.278899774340183926e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.881732863111946585e+01,-5.436465563476747143e+00,2.913912737999443792e+01,-3.302248097514863812e+00,5.401149959614881535e-04,4.617985271387957114e-01,6.134785692685364111e+00,1.278899598822896833e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.881829096210869423e+01,-5.430040370741125777e+00,2.913961437579183311e+01,-3.295770923314367273e+00,6.751412617881230593e-04,4.607163155986644387e-01,6.134908215102316653e+00,1.278899373154855079e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.881925215506167604e+01,-5.423615018678225042e+00,2.914010022491819285e+01,-3.289293673908150417e+00,8.101663748789761366e-04,4.596340679391678896e-01,6.135030499001050686e+00,1.278899097334814383e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.882021220995022048e+01,-5.417189507476441790e+00,2.914058492735927075e+01,-3.282816349486133323e+00,9.451903312749643238e-04,4.585517842231823238e-01,6.135152544368398075e+00,1.278898771361538511e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.882117112674618653e+01,-5.410763837324113368e+00,2.914106848310086306e+01,-3.276338950238169012e+00,1.080213127018433972e-03,4.574694645135773396e-01,6.135274351191203124e+00,1.278898395233792895e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.882212890542136918e+01,-5.404338008410247696e+00,2.914155089212873762e+01,-3.269861476354789964e+00,1.215234758137728743e-03,4.563871088733413850e-01,6.135395919456329672e+00,1.278897968950348796e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.882308567659083920e+01,-5.397911142828115239e+00,2.914203222011287053e+01,-3.263383042890954489e+00,1.350273670575344309e-03,4.553045694586469461e-01,6.135517265713558821e+00,1.278897492441450068e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.882404117878476058e+01,-5.391484996934452489e+00,2.914251233551424392e+01,-3.256905420296054565e+00,1.485292960415954266e-03,4.542221421408896287e-01,6.135638356791420556e+00,1.278896965836084643e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
2.882499554277370990e+01,-5.385058692844795658e+00,2.914299130415955474e+01,-3.250427723635819000e+00,1.620311073749422515e-03,4.531396790812512454e-01,6.135759209272330317e+00,1.278896389071359774e-01,1.000000000000000000e+00,1.387064350004977298e+00,1.802507836057493762e+00
