# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.921012659626617491e+01,-2.611452058757459671e+00,2.913716792113692833e+01,-3.328156120219455616e+00,-4.275333642667078493e-09,5.872957900622084448e-01,6.142501783420779127e+00,1.700300000000215528e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921058683249419374e+01,-2.604950919178416591e+00,2.913778742612013062e+01,-3.321670704332583934e+00,1.795160908581866499e-04,5.862137486700281785e-01,6.142625256494548935e+00,1.700299966668639418e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921104592154192048e+01,-2.598449703981928760e+00,2.913840578612771992e+01,-3.315185184662629236e+00,3.590357177314790205e-04,5.851316754655061514e-01,6.142748489731132189e+00,1.700299866670193227e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921150386339601468e+01,-2.591948413357054726e+00,2.913902300114173016e+01,-3.308699561398194877e+00,5.385546000657437382e-04,5.840495705127689563e-01,6.142871483120250886e+00,1.700299700004068715e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921196065804318920e+01,-2.585447047492379191e+00,2.913963907114424856e+01,-3.302213834727410813e+00,7.180727326536323618e-04,5.829674338758678021e-01,6.142994236651656337e+00,1.700299466669460968e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921241630547020662e+01,-2.578945606576491301e+00,2.914025399611742628e+01,-3.295728004838412772e+00,8.975901102877548166e-04,5.818852656188590045e-01,6.143116750315121166e+00,1.700299166665576178e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921287080566379402e+01,-2.572444090798454486e+00,2.914086777604335055e+01,-3.289242071919808996e+00,1.077106727747689785e-03,5.808030658058809248e-01,6.143239024100431322e+00,1.700298799991621090e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921332415861079213e+01,-2.565942500346793498e+00,2.914148041090424357e+01,-3.282756036159674373e+00,1.256622579827990083e-03,5.797208345009865482e-01,6.143361057997404728e+00,1.700298366646811887e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921377636429805591e+01,-2.559440835409967807e+00,2.914209190068234889e+01,-3.276269897746015847e+00,1.436137661325095904e-03,5.786385717682215324e-01,6.143482851995880623e+00,1.700297866630370303e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921422742271241191e+01,-2.552939096177250455e+00,2.914270224535985321e+01,-3.269783656867655708e+00,1.615651967013062573e-03,5.775562776717707569e-01,6.143604406085705349e+00,1.700297299941521956e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921467739557159504e+01,-2.546436389600881256e+00,2.914331152853335638e+01,-3.263296422599771152e+00,1.795190153534451105e-03,5.764738035816761030e-01,6.143725736906642254e+00,1.700296666487907116e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921512615924332579e+01,-2.539934502331767874e+00,2.914391958279929185e+01,-3.256809977342176143e+00,1.974702891881438549e-03,5.753914469457553915e-01,6.143846811115867723e+00,1.700295966442792184e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
2.921557377560298363e+01,-2.533432541332795385e+00,2.914452649191158784e+01,-3.250323430184564266e+00,2.154214838791246311e-03,5.743090591384329979e-01,6.143967645386141818e+00,1.700295199722988149e-01,1.000000000000000000e+00,1.325442056908513688e+00,1.625129658728319271e+00
