# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
-2.913749686642884740e+01,-3.325280947529166475e+00,2.913716593876543826e+01,-3.328179393902282790e+00,-1.638956956706572043e-06,4.168536791448739787e-01,4.890018428781539583e+00,3.420899999998597285e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
-2.913675508699732930e+01,-3.330456088841041939e+00,2.913760834129017141e+01,-3.322982813373298150e+00,3.618925200726264002e-04,4.157646070507241554e-01,4.890142729479887151e+00,3.420899932672191168e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
-2.913602235771946880e+01,-3.335560052064106884e+00,2.913804353653028656e+01,-3.317857446409725242e+00,7.204331296739030499e-04,4.146904540886844903e-01,4.890265135287314102e+00,3.420899733174762036e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
-2.913527828711831447e+01,-3.340734877855919827e+00,2.913848363574430067e+01,-3.312660656698974915e+00,1.083960871633288248e-03,4.136013271111348422e-01,4.890389052694152028e+00,3.420899395952334832e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
-2.913454329818336319e+01,-3.345838529408875939e+00,2.913891655924298618e+01,-3.307535083906611995e+00,1.442497763692068835e-03,4.125271200686673745e-01,4.890511080458758819e+00,3.420898930258836068e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
-2.913379693655244296e+01,-3.351013038707785885e+00,2.913935435506354210e+01,-3.302338085991063377e+00,1.806021702240312443e-03,4.114379383084488806e-01,4.890634614550735115e+00,3.420898323132181562e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
-2.913304942154506705e+01,-3.356187388298288887e+00,2.913979099119873339e+01,-3.297140983624017530e+00,2.169543700049764157e-03,4.103487290058547288e-01,4.890757955652214051e+00,3.420897580117882586e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
-2.913231103557829016e+01,-3.361290569463834199e+00,2.914022049908416179e+01,-3.292015103190720549e+00,2.528074876110203428e-03,4.092744408428796721e-01,4.890879415003248631e+00,3.420896714195435506e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
-2.913156122975230033e+01,-3.366464601098702936e+00,2.914065483170229953e+01,-3.286817794088004341e+00,2.891592967746103859e-03,4.081851769091243143e-01,4.891002372754754468e+00,3.420895701264572430e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
-2.913082058447517042e+01,-3.371567468192155470e+00,2.914108206764334952e+01,-3.281691710238402671e+00,3.250120257515670685e-03,4.071108349144915706e-01,4.891123454005312787e+00,3.420894569125798035e-01,1.000000000000000000e+00,1.060197250266307289e+00,4.366029928017489681e+00
