# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.295555661010492088e+01,-1.825083442653245314e+01,2.913717211531873730e+01,-3.328023086854161150e+00,9.581098236566276682e-06,1.827403690341328490e-01,5.810360434527821916e+00,4.189499999961465160e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.295899947197467483e+01,-1.824568740395156752e+01,2.913736568968821672e+01,-3.321849794238527664e+00,4.546951820563194246e-04,1.816515120701625852e-01,5.810484687084950473e+00,4.189499913210944504e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.296222034685377267e+01,-1.824087035789170486e+01,2.913754578149107033e+01,-3.316072939995725832e+00,8.712161654378380859e-04,1.806325429877686517e-01,5.810600754837246029e+00,4.189499681367416239e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.296566132870717780e+01,-1.823572210557740192e+01,2.913773710994248489e+01,-3.309899599068723219e+00,1.316315289098257679e-03,1.795435991542315146e-01,5.810724569111861193e+00,4.189499272600102908e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.296910133919049812e+01,-1.823057321826051691e+01,2.913792727816942119e+01,-3.303726233500189124e+00,1.761406661766162784e-03,1.784546105205643829e-01,5.810848156948676291e+00,4.189498697470080968e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.297254037818404626e+01,-1.822542369612020252e+01,2.913811628616526761e+01,-3.297552843504915288e+00,2.206490267955718565e-03,1.773655771382886270e-01,5.810971518329830054e+00,4.189497955968747300e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.297597844556790747e+01,-1.822027353933602001e+01,2.913830413392343388e+01,-3.291379429298165959e+00,2.651566092146673270e-03,1.762764990590177938e-01,5.811094653237466545e+00,4.189497048087507114e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.297941554122235530e+01,-1.821512274808730325e+01,2.913849082143737945e+01,-3.285205991094908740e+00,3.096634118840535521e-03,1.751873763343190504e-01,5.811217561653748476e+00,4.189495973817780050e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.298285166502797594e+01,-1.820997132255302731e+01,2.913867634870062062e+01,-3.279032529109645822e+00,3.541694332573452897e-03,1.740982090156859008e-01,5.811340243560862540e+00,4.189494733150990746e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.298628681686471609e+01,-1.820481926291315844e+01,2.913886071570667013e+01,-3.272859043558053571e+00,3.986746717796751938e-03,1.730089971548271766e-01,5.811462698940982996e+00,4.189493326078577717e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
2.298972099661319035e+01,-1.819966656934675342e+01,2.913904392244912600e+01,-3.266685534654689249e+00,4.431791259042583420e-03,1.719197408032610841e-01,5.811584927776323184e+00,4.189491752591987805e-01,1.000000000000000000e+00,9.291689025880957020e-01,2.476928541335780665e+00
