# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
1.895902572143133735e+00,2.926527975225828371e+01,2.913716323123705365e+01,-3.328177335606165244e+00,-1.614312560960229348e-06,1.189551096958791909e+00,5.403244918883530978e+00,4.081699999998902872e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.890095397139961886e+00,2.926626034744668203e+01,2.913842548825563838e+01,-3.322441152801290709e+00,4.317013795796798004e-04,1.188463149837025723e+00,5.403369079299018551e+00,4.081699919706767710e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.884332109668030553e+00,2.926723237242402220e+01,2.913967704783036083e+01,-3.316748263970126231e+00,8.617367590803837185e-04,1.187383458567999428e+00,5.403492080470970294e+00,4.081699680078320625e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.878568630893117763e+00,2.926820327472603722e+01,2.914092749542007610e+01,-3.311055129355576998e+00,1.291780890451871278e-03,1.186303765061778925e+00,5.403614865682357049e+00,4.081699281123248313e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.872760876116138284e+00,2.926918046747524116e+01,2.914218638239816528e+01,-3.305318201665708777e+00,1.725123106539633300e-03,1.185215811159688881e+00,5.403738371596336520e+00,4.081698717967404133e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.866997013938700434e+00,2.927014911572741696e+01,2.914343459736811681e+01,-3.299624574262994159e+00,2.155184758850847704e-03,1.184136113293884796e+00,5.403860723259807486e+00,4.081697999169986990e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.861232961123233665e+00,2.927111664119237489e+01,2.914468170020891691e+01,-3.293930701733737365e+00,2.585255113417755934e-03,1.183056413322445710e+00,5.403982858987632198e+00,4.081697121075381074e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.855468717890556896e+00,2.927208304383306370e+01,2.914592769087280999e+01,-3.288236584296070575e+00,3.015334153764592795e-03,1.181976711289049353e+00,5.404104778788119567e+00,4.081696083693385213e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.849660193704802502e+00,2.927305570235419552e+01,2.914718208664173815e+01,-3.282498667150963279e+00,3.448711478977017908e-03,1.180888748971803848e+00,5.404227412705632005e+00,4.081694877267231236e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.843895568848869182e+00,2.927401985064638268e+01,2.914842584430089900e+01,-3.276804058682735832e+00,3.878807907507886288e-03,1.179809042930737073e+00,5.404348899024995490e+00,4.081693520121730256e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
1.838130754240817621e+00,2.927498287600291604e+01,2.914966848963950596e+01,-3.271109205963103950e+00,4.308912972195738655e-03,1.178729334959219610e+00,5.404470169442046057e+00,4.081692003718345174e-01,1.000000000000000000e+00,9.482569856969648159e-01,6.175319067616406699e+00
