# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.506974122611604372e+01,-1.521706264649441920e+01,2.913717399000879027e+01,-3.328064393550015154e+00,9.892955251888935209e-06,3.761459313925522574e-01,5.689574409928567889e+00,6.146699999971921846e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.507256437139306016e+01,-1.521187041865354495e+01,2.913756107303454357e+01,-3.322201091576284071e+00,6.433248005972558303e-04,3.750898054859552189e-01,5.689694934159645889e+00,6.146699881587275316e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.507556969571630034e+01,-1.520634061514702218e+01,2.913797207928701027e+01,-3.315957152697006194e+00,1.317863339820535273e-03,3.739650933377848818e-01,5.689823049970502034e+00,6.146699503079203764e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.507839085134992985e+01,-1.520114731663179342e+01,2.913835690728167194e+01,-3.310093710362355779e+00,1.951282616588834173e-03,3.729088968825611250e-01,5.689943140091577867e+00,6.146698910580733477e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.508121104328441220e+01,-1.519595349987799260e+01,2.913874064318162382e+01,-3.304230200359709713e+00,2.584695773491185733e-03,3.718526663313432845e-01,5.690063019962986246e+00,6.146698088466669985e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.508421322225209948e+01,-1.519042200492551054e+01,2.913914808501633757e+01,-3.297986040622793880e+00,3.259214338521054799e-03,3.707278428993702191e-01,5.690190449553469421e+00,6.146696960531010667e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.508703142393457597e+01,-1.518522711861796637e+01,2.913952956580227749e+01,-3.292122391524390679e+00,3.892614790174331318e-03,3.696715420866519830e-01,5.690309895243447436e+00,6.146695664261704328e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.508984866162335692e+01,-1.518003171461455025e+01,2.913990995445353605e+01,-3.286258675370609339e+00,4.526009055783708490e-03,3.686152073169928767e-01,5.690429130649217626e+00,6.146694138356796344e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.509284769427402395e+01,-1.517449852998761450e+01,2.914031383174001277e+01,-3.280014296775798144e+00,5.200507430600298520e-03,3.674902730551158347e-01,5.690555873906594009e+00,6.146692260928265927e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.509566294110285156e+01,-1.516930205755136107e+01,2.914069196519507088e+01,-3.274150442791407656e+00,5.833888854298807658e-03,3.664338683111547645e-01,5.690674675059717913e+00,6.146690260826928043e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.509865985345719608e+01,-1.516376773554662982e+01,2.914109344088080178e+01,-3.267905917874177391e+00,6.508373504630737827e-03,3.653088596363482932e-01,5.690800955853444698e+00,6.146687878409167194e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.510147310901692563e+01,-1.515857019543276429e+01,2.914146931908471672e+01,-3.262041926911392054e+00,7.141741994367123425e-03,3.642523851115946343e-01,5.690919322706061045e+00,6.146685404083779281e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.510428540009052156e+01,-1.515337213853196729e+01,2.914184410508779166e+01,-3.256177869918913004e+00,7.775104187271120182e-03,3.631958768627780998e-01,5.691037479216881856e+00,6.146682700089566298e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.510727916452090724e+01,-1.514783612981892169e+01,2.914224201600945108e+01,-3.249933129490864658e+00,8.449568285856745575e-03,3.620707581180392931e-01,5.691163073489557078e+00,6.146679568070487765e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.511008946371838135e+01,-1.514263700636223753e+01,2.914261454668037743e+01,-3.244068936785494017e+00,9.082917408112844981e-03,3.610141803758157297e-01,5.691280795628996358e+00,6.146676389811428498e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.511289879813624992e+01,-1.513743736666131845e+01,2.914298598511146565e+01,-3.238204678662597757e+00,9.716260167419221716e-03,3.599575690485997681e-01,5.691398307392383948e+00,6.146672981863846585e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.511588941368392724e+01,-1.513189967301286210e+01,2.914338033114162485e+01,-3.231959724723605376e+00,1.039070349826176631e-02,3.588323406881632205e-01,5.691523215032156635e+00,6.146669100179151801e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.511869675561928972e+01,-1.512669896787812540e+01,2.914374951416028381e+01,-3.226095332153368744e+00,1.102403305023913482e-02,3.577756601550094451e-01,5.691640292353499220e+00,6.146665217926161606e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.512168524914389067e+01,-1.512116014004494957e+01,2.914414145836018122e+01,-3.219850235493820989e+00,1.169846226757731422e-02,3.566503581997685912e-01,5.691764737328155022e+00,6.146660831136415704e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.512449059818885999e+01,-1.511595837023203437e+01,2.914450838591277915e+01,-3.213985709328307294e+00,1.233177852020594933e-02,3.555936086542927921e-01,5.691881380159974135e+00,6.146656474550822313e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.512729498196306466e+01,-1.511075608508476442e+01,2.914487422116093995e+01,-3.208121118771268598e+00,1.296508829908127325e-02,3.545368257569178061e-01,5.691997812558599712e+00,6.146651888243986894e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.513028032500249864e+01,-1.510521557528478276e+01,2.914526260025860438e+01,-3.201875811948220019e+00,1.363949638716666080e-02,3.534114149465426569e-01,5.692121570713889689e+00,6.146646751681837939e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.513308271528113380e+01,-1.510001222658172360e+01,2.914562617996165272e+01,-3.196011089061244093e+00,1.427279273004988802e-02,3.523545633244003494e-01,5.692237568552686255e+00,6.146641691002233676e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.513588413999607596e+01,-1.509480836308794593e+01,2.914598866732215754e+01,-3.190146302395531208e+00,1.490608253300629293e-02,3.512976784896369997e-01,5.692353355924292480e+00,6.146636400581988458e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.513886633159432549e+01,-1.508926617309545470e+01,2.914637348119321558e+01,-3.183900787408980193e+00,1.558046927586631547e-02,3.501721592786949944e-01,5.692476427149250284e+00,6.146630514184130423e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
2.514166576220915417e+01,-1.508406124716861640e+01,2.914673371293027060e+01,-3.178035869678710768e+00,1.621374550619103516e-02,3.491152060067998497e-01,5.692591779890927128e+00,6.146624749351179418e-01,1.000000000000000000e+00,4.989196437977588827e-01,2.404569668093870405e+00
