# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.914411057930852422e+01,3.266801526124233579e+00,2.913716750801550148e+01,-3.328159142813998272e+00,-2.142528813808830535e-07,8.087340694143485553e-01,6.004794132022954756e+00,4.049499999999971456e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.914352381808158299e+01,3.273188238360786873e+00,2.913802109702071164e+01,-3.321816994608130180e+00,4.274817547907927562e-04,8.076516745793279606e-01,6.004917647707960882e+00,4.049499920640104444e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.914293591084497947e+01,3.279574850303926592e+00,2.913887354657561346e+01,-3.315474688141585968e+00,8.551796293128910431e-04,8.065692575906792117e-01,6.005040926707902571e+00,4.049499682402727951e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.914234748836363664e+01,3.285954529896009557e+00,2.913972394658128451e+01,-3.309139008489978107e+00,1.282421828487451121e-03,8.054879764514465412e-01,6.005163837521964254e+00,4.049499285799649240e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.914175729038771578e+01,3.292340940772390923e+00,2.914057411837614353e+01,-3.302796386254527317e+00,1.710123395387314060e-03,8.044055153632782007e-01,6.005286643393508150e+00,4.049498729983559420e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.914116594645625469e+01,3.298727250768503261e+00,2.914142315064247057e+01,-3.296453606341205766e+00,2.137826789835872709e-03,8.033230323055059463e-01,6.005409212568574517e+00,4.049498015296339459e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.914057409101058482e+01,3.305106628150649151e+00,2.914227013693718860e+01,-3.290117454331186408e+00,2.565074463792921255e-03,8.022416853515582646e-01,6.005531414305750992e+00,4.049497142759505564e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913998045644832402e+01,3.311492735906939711e+00,2.914311689128741634e+01,-3.283774359814003674e+00,2.992781472057726155e-03,8.011591585621238298e-01,6.005653510329780786e+00,4.049496110506445312e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913938567598496832e+01,3.317878742196134212e+00,2.914396250603120109e+01,-3.277431108201802168e+00,3.420490268569498227e-03,8.000766099871129411e-01,6.005775369646094042e+00,4.049494919388753056e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913879038773806585e+01,3.324257815610374145e+00,2.914480607838155279e+01,-3.271094485579427502e+00,3.847743299572131681e-03,7.989951977697482555e-01,6.005896862272725123e+00,4.049493570937630627e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913819331675305691e+01,3.330643618486738955e+00,2.914564941505381057e+01,-3.264750920528495470e+00,4.275455631337632401e-03,7.979126058309398140e-01,6.006018248415715632e+00,4.049492062267202042e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913759509992171104e+01,3.337029319309208653e+00,2.914649161204202343e+01,-3.258407198965437956e+00,4.703169712047899909e-03,7.968299922905873744e-01,6.006139397839930005e+00,4.049490394738756716e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913699637903761541e+01,3.343408086997644357e+00,2.914733177021554411e+01,-3.252070107476907612e+00,5.130427982356910999e-03,7.957485153611142392e-01,6.006260181322877756e+00,4.049488570393158793e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913639587179439516e+01,3.349793583234339067e+00,2.914817168897742405e+01,-3.245726073640330167e+00,5.558145519757834441e-03,7.946658588248343147e-01,6.006380857551834040e+00,4.049486585325317578e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913579421875992992e+01,3.356178976830137550e+00,2.914901046797794493e+01,-3.239381883874792756e+00,5.985864766785448099e-03,7.935831808710843704e-01,6.006501297051124233e+00,4.049484441406189794e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913519206540361850e+01,3.362557437035185615e+00,2.914984721174315041e+01,-3.233044325266208219e+00,6.413128158675507340e-03,7.925016397807840285e-01,6.006621371357781847e+00,4.049482141186285800e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913458812206766524e+01,3.368942624872548919e+00,2.915068371236320033e+01,-3.226699824392220695e+00,6.840850783845053851e-03,7.914189191989454697e-01,6.006741337640234768e+00,4.049479679741334603e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913398368089680801e+01,3.375320879148575592e+00,2.915151818013398710e+01,-3.220361955396187525e+00,7.268117524092343462e-03,7.903373356486709245e-01,6.006860939229163421e+00,4.049477062339848499e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913337744733329160e+01,3.381705860445973322e+00,2.915235240227119107e+01,-3.214017144190302044e+00,7.695843475051672433e-03,7.892545726839164111e-01,6.006980432280593973e+00,4.049474283378253769e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913277006807103575e+01,3.388090738124422518e+00,2.915318548451889313e+01,-3.207672178027275223e+00,8.123571070121266002e-03,7.881717886084417257e-01,6.007099688584601971e+00,4.049471345576850512e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913216219470504953e+01,3.394468681987552916e+00,2.915401653749757216e+01,-3.201333844822028762e+00,8.550842735711494669e-03,7.870901418161987406e-01,6.007218580944064357e+00,4.049468252335445273e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913155252532668626e+01,3.400853351953235570e+00,2.915484734110929210e+01,-3.194988569492548613e+00,8.978573578004911404e-03,7.860073157256963761e-01,6.007337363996049895e+00,4.049464997031360092e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913094236433169115e+01,3.407231087935145286e+00,2.915567611783867719e+01,-3.188649927839812381e+00,9.405848461174370900e-03,7.849256270858863127e-01,6.007455783602830834e+00,4.049461586631619148e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.913033040491190562e+01,3.413615549405926153e+00,2.915650464271264042e+01,-3.182304344121188677e+00,9.833582498293663710e-03,7.838427592256491661e-01,6.007574093388988068e+00,4.049458013834288939e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912971729988670333e+01,3.419999906280465574e+00,2.915733202756993236e+01,-3.175958606416686258e+00,1.026131811405098238e-02,7.827598705613341146e-01,6.007692166410469881e+00,4.049454282208955758e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912910370697627371e+01,3.426377328920423349e+00,2.915815738912607102e+01,-3.169619503465719301e+00,1.068859772633598548e-02,7.816781195984012776e-01,6.007809876736069477e+00,4.049450396004656283e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912848831202216360e+01,3.432761476127355049e+00,2.915898249509352880e+01,-3.163273458537662730e+00,1.111633645835172213e-02,7.805951895322489342e-01,6.007927476471309980e+00,4.049446346900431037e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912787243167000284e+01,3.439138688934051835e+00,2.915980558014720714e+01,-3.156934049079397120e+00,1.154361915743556954e-02,7.795133973341703548e-01,6.008044714010249976e+00,4.049442143561688967e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912725474686230598e+01,3.445522625691969765e+00,2.916062840712383775e+01,-3.150587697704527734e+00,1.197136095335535333e-02,7.784304261113661472e-01,6.008161840445843893e+00,4.049437776988268345e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912663657914386661e+01,3.451899627884168709e+00,2.916144921557424041e+01,-3.144247982515571138e+00,1.239864668689397154e-02,7.773485929231812586e-01,6.008278605184801613e+00,4.049433256524823110e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912601660455818120e+01,3.458283353411703231e+00,2.916226976345932798e+01,-3.137901325470656921e+00,1.282639149436390347e-02,7.762655807889105031e-01,6.008395258307497322e+00,4.049428572492008160e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912539614954912537e+01,3.464660144208876691e+00,2.916308829520598422e+01,-3.131561305326971745e+00,1.325368021005871033e-02,7.751837068555453847e-01,6.008511550233314402e+00,4.049423734913702444e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912477388526140487e+01,3.471043657723988485e+00,2.916390656389900826e+01,-3.125214343389512539e+00,1.368142797667779020e-02,7.741006540551130799e-01,6.008627730030004166e+00,4.049418733431396356e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912415047553852787e+01,3.477427064883214847e+00,2.916472369234856643e+01,-3.118867229215460224e+00,1.410917720403376263e-02,7.730175810026859162e-01,6.008743673032178378e+00,4.049413573143151313e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912352658912407932e+01,3.483803537067009959e+00,2.916553880824254108e+01,-3.112526753013935998e+00,1.453647029564367199e-02,7.719356464000894924e-01,6.008859255587426951e+00,4.049408259826387524e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912290088981357172e+01,3.490186731041287072e+00,2.916635365734984475e+01,-3.106179335113174567e+00,1.496422240357911382e-02,7.708525330494112593e-01,6.008974725244240922e+00,4.049402782103708187e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912227471629893572e+01,3.496562989878303718e+00,2.916716649629005431e+01,-3.099838555897537429e+00,1.539151834656046769e-02,7.697705583140781460e-01,6.009089834954125742e+00,4.049397151697142760e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912164672747737981e+01,3.502945969886356536e+00,2.916797906595536460e+01,-3.093490835046964094e+00,1.581927328272039746e-02,7.686874049103390449e-01,6.009204831252875856e+00,4.049391356550192111e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912101826693926654e+01,3.509322014595477768e+00,2.916878962784224072e+01,-3.087149753593985579e+00,1.624657202472773454e-02,7.676053902873162249e-01,6.009319468104774131e+00,4.049385409064034103e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.912038798868354661e+01,3.515704779855815421e+00,2.916959991796606744e+01,-3.080801730570772001e+00,1.667432973674062846e-02,7.665221970757495340e-01,6.009433991032905986e+00,4.049379296503077819e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911975724119886166e+01,3.522080609656852879e+00,2.917040820270042900e+01,-3.074460347656364334e+00,1.710163122548860604e-02,7.654401428099316673e-01,6.009548155014365456e+00,4.049373031947633428e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911912467358614620e+01,3.528463159388014247e+00,2.917121621318357327e+01,-3.068112023237719477e+00,1.752939166098277379e-02,7.643569100357723300e-01,6.009662204559488075e+00,4.049366601983045988e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911849163923215400e+01,3.534838773499912712e+00,2.917202222066639905e+01,-3.061770339638716365e+00,1.795669584412587505e-02,7.632748163722070656e-01,6.009775895658197697e+00,4.049360020368729107e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911785678233987085e+01,3.541221106920689810e+00,2.917282795140996043e+01,-3.055421714601659566e+00,1.838445895074453107e-02,7.621915442806519447e-01,6.009889471808072869e+00,4.049353273010985466e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911722146119405252e+01,3.547596504563087727e+00,2.917363168154260222e+01,-3.049079731094269441e+00,1.881176577598167587e-02,7.611094114642745767e-01,6.010002690011886806e+00,4.049346374348311017e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911658431509996703e+01,3.553978620891626861e+00,2.917443513244787567e+01,-3.042730806216523920e+00,1.923953150132265422e-02,7.600261003006357763e-01,6.010115792754427311e+00,4.049339309607992154e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911594670724008438e+01,3.560353801284193320e+00,2.917523658513195173e+01,-3.036388523576987630e+00,1.966684091635265141e-02,7.589439285763823761e-01,6.010228538051356040e+00,4.049332093907579422e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911530727202218571e+01,3.566735699739333132e+00,2.917603775610059103e+01,-3.030039299635652217e+00,2.009460920805808404e-02,7.578605785858598676e-01,6.010341167374636306e+00,4.049324711795365683e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911466737752635225e+01,3.573110662101084856e+00,2.917683693123793276e+01,-3.023696718640925596e+00,2.052192116053394577e-02,7.567783681987827471e-01,6.010453439752842186e+00,4.049317179067941086e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911402565326289960e+01,3.579492341901706176e+00,2.917763582217187590e+01,-3.017347196413119104e+00,2.094969196624665853e-02,7.556949796265741703e-01,6.010565595645092962e+00,4.049309479594618288e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911338347220943490e+01,3.585867085452359326e+00,2.917843271966465579e+01,-3.011004317839520272e+00,2.137700640386619444e-02,7.546127308216119545e-01,6.010677395092895559e+00,4.049301629851007611e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911273945897904980e+01,3.592248545816678629e+00,2.917922933046605038e+01,-3.004654498103088933e+00,2.180477967118243932e-02,7.535293039130342985e-01,6.010789077542498582e+00,4.049293613027469263e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911209499144655410e+01,3.598623069775992001e+00,2.918002395021673578e+01,-2.998311322726959549e+00,2.223209654164415294e-02,7.524470169351238358e-01,6.010900404048379997e+00,4.049285446278603207e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911144938131593563e+01,3.604997483705589811e+00,2.918081743166932540e+01,-2.991967999320340965e+00,2.265941460824805187e-02,7.513647109728115447e-01,6.011011494205571459e+00,4.049277121116061084e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
2.911080193539548233e+01,3.611378613509998114e+00,2.918161062269930994e+01,-2.985617734857514360e+00,2.308719146916105025e-02,7.502812270295735608e-01,6.011122466596459546e+00,4.049268628372755807e-01,1.000000000000000000e+00,9.539077890125169379e-01,1.241647241295126491e+00
