# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
2.779345267210661774e+01,9.358160371748184048e+00,2.913716791272052475e+01,-3.328156096987967771e+00,-2.788912933926468440e-09,1.059634432701096696e+00,5.997500543192650468e+00,1.274699999999595323e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
2.779177749976327405e+01,9.364364029116318378e+00,2.913828510363176605e+01,-3.321829536196505117e+00,1.344596253313457002e-04,1.058553394731441610e+00,5.997623903658191757e+00,1.274699975057365653e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
2.779009760737922363e+01,9.370580757562994023e+00,2.913940357062567799e+01,-3.315489139992141787e+00,2.692133151339926034e-04,1.057470016970429638e+00,5.997747290903932438e+00,1.274699900015044129e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
2.778842021249248617e+01,9.376783847357042845e+00,2.914051850828844792e+01,-3.309162149435758593e+00,4.036793208606059835e-04,1.056388954102807753e+00,5.997870174811652078e+00,1.274699775197054852e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
2.778673809288228469e+01,9.383000006630469514e+00,2.914163471711519549e+01,-3.302821322926069669e+00,5.384366016993047399e-04,1.055305551514781337e+00,5.997993084478791204e+00,1.274699600067998873e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
2.778505847565558895e+01,9.389202528098147482e+00,2.914274740139428133e+01,-3.296493903372088141e+00,6.729061826006854652e-04,1.054224463997647465e+00,5.998115491839053348e+00,1.274699375382321587e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
2.778337774853007502e+01,9.395404765426091487e+00,2.914385896014237787e+01,-3.290166269837714097e+00,8.073775430517127205e-04,1.053143364262111303e+00,5.998237661185712888e+00,1.274699100819524367e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
2.778169228966045878e+01,9.401620069832873128e+00,2.914497178267882660e+01,-3.283824799542527373e+00,9.421401778862970033e-04,1.052059924913481437e+00,5.998359854761368126e+00,1.274698775629375114e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
2.778000934050060167e+01,9.407821737706237641e+00,2.914608108784094043e+01,-3.277496738161522316e+00,1.076615089052046503e-03,1.050978800900986831e+00,5.998481547576402839e+00,1.274698401211053767e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
2.777832165491532024e+01,9.414036471055297284e+00,2.914719165187232264e+01,-3.271154839483504162e+00,1.211381274066475333e-03,1.049895337347658275e+00,5.998603263599908253e+00,1.274697975954490192e-01,1.000000000000000000e+00,1.387674587102733170e+00,8.858034540499133414e-01
