# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum,theta,phi
-2.920663940910130663e+01,-2.650172121479191567e+00,2.913716334818900222e+01,-3.328199192905644477e+00,-5.367188390281718569e-06,5.524510916898218715e-01,5.205356356186954692e+00,6.463099999992163447e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920607946734465088e+01,-2.655836502840794644e+00,2.913775894809029765e+01,-3.322581584645495578e+00,6.921205703542265830e-04,5.513451060218557132e-01,5.205482579748067273e+00,6.463099869654792551e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920553432987396647e+01,-2.661339429220262343e+00,2.913833643917173433e+01,-3.317123864497314223e+00,1.369740253349016612e-03,5.502705979955935245e-01,5.205605004161463434e+00,6.463099489484069871e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920498806405206338e+01,-2.666842244434411313e+00,2.913891280281284324e+01,-3.311666024301815447e+00,2.047358865005233231e-03,5.491960654646782514e-01,5.205727227678603519e+00,6.463098859429499132e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920444066990171805e+01,-2.672344948253673635e+00,2.913948803898956541e+01,-3.306208064286690007e+00,2.724976377053933696e-03,5.481215084638104695e-01,5.205849250294624753e+00,6.463097979489980105e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920389214744577444e+01,-2.677847540448486274e+00,2.914006214767790937e+01,-3.300749984679634874e+00,3.402592761226064244e-03,5.470469270276916429e-01,5.205971072004665245e+00,6.463096849664412558e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920332636458995879e+01,-2.683511345144149907e+00,2.914065191095306773e+01,-3.295131756140585733e+00,4.100074827552868673e-03,5.459408146843585108e-01,5.206096255546453833e+00,6.463095425729590282e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920277555251282564e+01,-2.689013710110025990e+00,2.914122373153431411e+01,-3.289673434545012043e+00,4.777688835797488931e-03,5.448661837683317355e-01,5.206217669539250359e+00,6.463093788802199979e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920222361219964569e+01,-2.694515962755168914e+00,2.914179442455467850e+01,-3.284214994048187730e+00,5.455301630420184011e-03,5.437915285223539064e-01,5.206338882611346364e+00,6.463091901985459353e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920167054367352222e+01,-2.700018102849221613e+00,2.914236398999026534e+01,-3.278756434878635773e+00,6.132913183051980077e-03,5.427168489812888019e-01,5.206459894757882623e+00,6.463089765278287047e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920110008155916503e+01,-2.705681441222154149e+00,2.914294907670962331e+01,-3.273137713676107730e+00,6.830390157106014382e-03,5.416106358029183498e-01,5.206584244980334120e+00,6.463087304936763200e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
-2.920054472360031284e+01,-2.711183352208544228e+00,2.914351635384324979e+01,-3.267678914381804578e+00,7.507999102441709205e-03,5.405359070660682441e-01,5.206704849369983457e+00,6.463084661118954077e-01,1.000000000000000000e+00,3.942107154242384670e-01,4.442323169324907894e+00
