0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,5
0,0,0,0,12
0,0,0,7,21
0,0,0,15,25
0,0,7,24,29
0,0,19,31,36
0,1,29,40,32
0,19,41,39,30
0,38,48,43,24
11,54,60,41,19
54,71,63,33,17
91,89,63,28,17
134,102,60,26,16
175,115,47,25,16
224,121,41,21,14
280,113,40,19,13
300,92,36,23,11
300,88,35,19,13
300,88,37,20,13
254,91,31,20,12
201,100,34,19,11
156,95,35,17,10
121,87,33,16,11
89,79,37,16,11
59,66,40,17,12
32,57,41,18,11
7,49,45,19,10
0,36,40,19,9
0,28,35,18,9
0,18,33,20,9
0,9,30,22,13
0,0,24,23,11
0,0,19,23,11
0,0,17,23,12
0,0,11,22,13
0,0,6,17,14
0,0,2,15,13
0,0,0,15,15
0,0,0,12,14
0,0,0,10,12
0,0,0,7,13
0,0,0,5,13
0,0,0,3,13
0,0,0,0,12
0,0,0,0,10
0,0,0,0,8
0,0,0,0,5
0,0,0,0,5
0,0,0,0,4
0,0,0,0,3
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
